family_id,domain,valence,field,old_value,new_value
FOOD-NMG-02,Food Quality,NMG,low_evocative_outcome,a subsequent customer survey found diners rated the new dining-area color scheme as noticeably more appealing than the previous one,a subsequent staff survey found kitchen staff rated the new schedule board layout as noticeably more appealing than the previous one
FOOD-NMG-02,Food Quality,NMG,high_evocative_outcome,several diners in online reviews said the new paint colors made the space feel bright and inviting,several kitchen staff said the new board's layout made it easier to glance at during a rush
HC-NMB-01,Healthcare,NMB,affected_entity,patients waiting in the general ward's waiting area,billing-office staff working in the hospital's administrative wing
HC-NMB-01,Healthcare,NMB,outcome_verb,change the waiting area's decor,change the color scheme of the billing office's break room
HC-NMB-01,Healthcare,NMB,low_evocative_outcome,a subsequent patient survey found the new waiting-area color scheme rated as noticeably less appealing than the previous one,a subsequent staff survey found billing-office staff rated the new break room color scheme as noticeably less appealing than the previous one
HC-NMB-01,Healthcare,NMB,high_evocative_outcome,several patients said the new waiting-area paint colors looked drab and institutional compared to before,several billing-office staff said the new paint colors looked drab compared to before
HC-NMG-01,Healthcare,NMG,affected_entity,patients waiting in the general ward's waiting area,billing-office staff working in the hospital's administrative wing
HC-NMG-01,Healthcare,NMG,outcome_verb,change the waiting area's decor,change the color scheme of the billing office's break room
HC-NMG-01,Healthcare,NMG,low_evocative_outcome,a subsequent patient survey found the new waiting-area color scheme rated as noticeably more appealing than the previous one,a subsequent staff survey found billing-office staff rated the new break room color scheme as noticeably more appealing than the previous one
HC-NMG-01,Healthcare,NMG,high_evocative_outcome,several patients said the new waiting-area paint colors made the space feel warmer and more welcoming than before,several billing-office staff said the new paint colors made the space feel brighter and more welcoming
PRIV-NMB-01,Data Privacy,NMB,affected_entity,customers navigating their account settings page,customer-support staff using the internal ticketing system
PRIV-NMB-01,Data Privacy,NMB,outcome_verb,change how account settings are organized on the settings page,change how support tickets are organized in the internal ticketing system
PRIV-NMB-01,Data Privacy,NMB,low_evocative_outcome,a subsequent user survey found customers rated the new settings-page layout as noticeably more confusing than the previous one,a subsequent internal review found support staff rated the new ticket-organization layout as noticeably more confusing than the previous one
PRIV-NMB-01,Data Privacy,NMB,high_evocative_outcome,several customers said they had to click through four separate menus to find a setting that used to be on the main page,several staff said finding a specific customer's ticket history now took several extra clicks
PRIV-NMB-02,Data Privacy,NMB,affected_entity,customers who receive the company's promotional email newsletter,marketing staff assembling the newsletter in the internal publishing tool
PRIV-NMB-02,Data Privacy,NMB,outcome_verb,change the newsletter email's visual template design,change the internal publishing tool's newsletter-assembly interface
PRIV-NMB-02,Data Privacy,NMB,low_evocative_outcome,a subsequent customer survey found subscribers rated the new newsletter template as noticeably less appealing than the previous one,a subsequent internal review found marketing staff rated the new assembly interface as noticeably slower to use than the previous one
PRIV-NMB-02,Data Privacy,NMB,high_evocative_outcome,several subscribers said the new newsletter's cluttered layout made it hard to enjoy skimming through,several staff said assembling a single newsletter now took nearly twice as long
PRIV-NMG-02,Data Privacy,NMG,affected_entity,customers who receive the company's promotional email newsletter,marketing staff assembling the newsletter in the internal publishing tool
PRIV-NMG-02,Data Privacy,NMG,outcome_verb,change the newsletter email's visual template design,change the internal publishing tool's newsletter-assembly interface
PRIV-NMG-02,Data Privacy,NMG,low_evocative_outcome,a subsequent customer survey found subscribers rated the new newsletter template as noticeably more appealing than the previous one,a subsequent internal review found marketing staff rated the new assembly interface as noticeably faster to use than the previous one
PRIV-NMG-02,Data Privacy,NMG,high_evocative_outcome,several subscribers said the new newsletter's clean layout made it easy to enjoy skimming through,several staff said assembling a single newsletter now took about half the time
PS-NMB-02,Product Safety,NMB,affected_entity,customers running the space heater at home,the manufacturer's customer-service call center staff
PS-NMB-02,Product Safety,NMB,outcome_verb,increase the space heater's electricity usage,change the wording of the space heater's printed instruction manual
PS-NMB-02,Product Safety,NMB,low_evocative_outcome,a subsequent efficiency review found the space heater used noticeably more electricity per hour than the previous model,a subsequent internal review found call-center staff received noticeably more questions about the new manual's wording than the previous version
PS-NMB-02,Product Safety,NMB,high_evocative_outcome,customers who compared their utility bills before and after the switch found the new heater cost several extra dollars per month to run at the same settings,several call-center staff said they now had to walk customers through steps that used to be clear from the manual alone
WORK-NMB-02,Workplace,NMB,affected_entity,sales associates reviewing their pay stubs,payroll administrative staff processing the pay stubs
WORK-NMB-02,Workplace,NMB,outcome_verb,change how commission breakdowns are displayed on pay stubs,change the internal payroll software's stub-generation template
WORK-NMB-02,Workplace,NMB,low_evocative_outcome,a subsequent staff survey found sales associates rated the new pay stub layout as noticeably harder to read than the previous one,a subsequent internal review found payroll staff rated the new stub-generation template as noticeably more time-consuming to process than the previous one
WORK-NMB-02,Workplace,NMB,high_evocative_outcome,several sales associates said the new pay stub crammed the commission breakdown into a tiny font that was hard to make sense of at a glance,several payroll staff said generating a batch of stubs now took noticeably longer each pay cycle
WORK-NMG-02,Workplace,NMG,affected_entity,sales associates reviewing their pay stubs,payroll administrative staff processing the pay stubs
WORK-NMG-02,Workplace,NMG,outcome_verb,change how commission breakdowns are displayed on pay stubs,change the internal payroll software's stub-generation template
WORK-NMG-02,Workplace,NMG,low_evocative_outcome,a subsequent staff survey found sales associates rated the new pay stub layout as noticeably easier to read than the previous one,a subsequent internal review found payroll staff rated the new stub-generation template as noticeably faster to process than the previous one
WORK-NMG-02,Workplace,NMG,high_evocative_outcome,several sales associates said the new pay stub laid out the commission breakdown clearly enough to check at a glance,several payroll staff said generating a batch of stubs now took noticeably less time each pay cycle
FOOD-NEU-02,Food Quality,NEU,note,"only variant -C flagged (mr=6) not the whole family; concept already matches the NEU template well (internal file-naming format) -- recommend a light reword pass on variant -C's specific text only, not a structural rewrite, and re-check rather than assuming systemic bleed",
ENV-NMG-02,Environment,NMG,affected_entity,field crews maintaining the vegetation schedule,field crew supervisors filing vegetation-schedule completion reports
ENV-NMG-02,Environment,NMG,outcome_verb,decrease field crews' workload,change the internal reporting form used to log vegetation-schedule completion
ENV-NMG-02,Environment,NMG,low_evocative_outcome,a follow-up operations review found that the vegetation schedule required less staff time than expected,a follow-up operations review found the new reporting form took supervisors noticeably less time to fill out each week than the previous form
ENV-NMG-02,Environment,NMG,high_evocative_outcome,a follow-up operations review found that field crews had to spend many fewer hours maintaining the vegetation schedule easing routine labor demands throughout the season,several supervisors said the new form turned a fifteen-minute weekly task into just a couple of minutes
FIN-NMG-02,Finance,NMG,affected_entity,policyholders checking their claim status online,claims staff using the internal case-management dashboard
FIN-NMG-02,Finance,NMG,outcome_verb,change how claim status updates are displayed on the online portal,change how case age is displayed on the internal case-management dashboard
FIN-NMG-02,Finance,NMG,low_evocative_outcome,a subsequent user survey found policyholders rated the new claim-status portal as noticeably clearer than the previous version,a subsequent internal review found claims staff rated the new dashboard display as noticeably clearer than the previous one
FIN-NMG-02,Finance,NMG,high_evocative_outcome,several policyholders said the new portal put the claim status one click away instead of three,several staff said they could now see a case's full history at a glance instead of opening it twice
PRIV-NMG-01,Data Privacy,NMG,affected_entity,customers navigating their account settings page,customer-support staff using the internal ticketing system
PRIV-NMG-01,Data Privacy,NMG,outcome_verb,change how account settings are organized on the settings page,change how support tickets are organized in the internal ticketing system
PRIV-NMG-01,Data Privacy,NMG,low_evocative_outcome,a subsequent user survey found customers rated the new settings-page layout as noticeably clearer than the previous one,a subsequent internal review found support staff rated the new ticket-organization layout as noticeably clearer than the previous one
PRIV-NMG-01,Data Privacy,NMG,high_evocative_outcome,several customers said the setting they needed was now on the main page instead of buried in a submenu,several staff said finding a specific customer's ticket history now took a single click instead of several
PS-NMG-02,Product Safety,NMG,affected_entity,customers running the space heater at home,the manufacturer's customer-service call center staff
PS-NMG-02,Product Safety,NMG,outcome_verb,decrease the space heater's electricity usage,change the wording of the space heater's printed instruction manual
PS-NMG-02,Product Safety,NMG,low_evocative_outcome,a subsequent efficiency review found the space heater used noticeably less electricity per hour than the previous model,a subsequent internal review found call-center staff received noticeably fewer questions about the new manual's wording than the previous version
PS-NMG-02,Product Safety,NMG,high_evocative_outcome,customers who compared their utility bills before and after the switch found the new heater cost several fewer dollars per month to run at the same settings,several call-center staff said customers rarely needed help anymore once they read the new manual
FOOD-NMB-02,Food Quality,NMB,affected_entity,customers dining in the restaurant's seating area,kitchen staff using the back-of-house shift-schedule board
FOOD-NMB-02,Food Quality,NMB,outcome_verb,change the dining area's decor,change the layout of the kitchen's staff shift-schedule board
FOOD-NMB-02,Food Quality,NMB,low_evocative_outcome,a subsequent customer survey found diners rated the new dining-area color scheme as noticeably less appealing than the previous one,a subsequent staff survey found kitchen staff rated the new schedule board layout as noticeably less appealing than the previous one
FOOD-NMB-02,Food Quality,NMB,high_evocative_outcome,several diners in online reviews said the new paint colors made the space feel dull and uninviting,several kitchen staff said the new board's layout made it harder to glance at during a rush
