family_id,domain,valence,nonmoral_subdomain,agent,goal,common_action,uncommon_action,affected_entity,low_evocative_outcome,high_evocative_outcome,outcome_verb,generator_model,ingest_date,human_approved
ENV-MB-03,Environment,MB,,The plant manager,reduce operating costs by upgrading the plant's emissions-control equipment,"installed a newer, industry-standard scrubber system widely used by comparable facilities","commissioned a custom, in-house scrubber system built specifically for this plant, an approach rarely used by comparable facilities",residents living near the plant,a subsequent air-quality audit found particulate emissions had risen above the safety threshold,a subsequent air-quality audit found the plant's particulate readings measured nearly double the legal limit on the days it was tested,raise the plant's particulate emissions above the safety threshold,,,True
ENV-MG-03,Environment,MG,,The plant manager,reduce operating costs by upgrading the plant's emissions-control equipment,"installed a newer, industry-standard scrubber system widely used by comparable facilities","commissioned a custom, in-house scrubber system built specifically for this plant, an approach rarely used by comparable facilities",residents living near the plant,a subsequent air-quality audit found particulate emissions had fallen well below the previous year's readings,a subsequent air-quality audit found the plant's particulate readings measured less than half what they had been the previous year,lower the plant's particulate emissions,,,True
ENV-NMB-03,Environment,NMB,aesthetic,The plant manager,reduce operating costs by upgrading the plant's emissions-control equipment,"installed a newer, industry-standard scrubber system widely used by comparable facilities","commissioned a custom, in-house scrubber system built specifically for this plant, an approach rarely used by comparable facilities",employees working in the plant's administrative office,a subsequent staff survey found employees rated the new parking signage as noticeably more confusing than the previous layout,several employees said they now had to circle the lot twice most mornings to find their assigned space,change the layout of the plant office's parking area signage,"claude-sonnet-5 (manual revision draft, v1.1 moral-relevance patch, unreviewed)",2026-08-07,True
ENV-NMG-03,Environment,NMG,aesthetic,The plant manager,reduce operating costs by upgrading the plant's emissions-control equipment,"installed a newer, industry-standard scrubber system widely used by comparable facilities","commissioned a custom, in-house scrubber system built specifically for this plant, an approach rarely used by comparable facilities",employees working in the plant's administrative office,a subsequent staff survey found employees rated the new parking signage as noticeably clearer than the previous layout,several employees said they could now find their assigned space without circling the lot,change the layout of the plant office's parking area signage,"claude-sonnet-5 (manual revision draft, v1.1 moral-relevance patch, unreviewed)",2026-08-07,True
ENV-NEU-03,Environment,NEU,,The plant manager,reduce operating costs by upgrading the plant's emissions-control equipment,"installed a newer, industry-standard scrubber system widely used by comparable facilities","commissioned a custom, in-house scrubber system built specifically for this plant, an approach rarely used by comparable facilities",staff who review the air-quality readings,the plant's monitoring software began logging air-quality readings under a different internal file format than before,"a reading that would have been saved as 'AQ_031427.csv' under the old system is now saved as '2027-03-14_AirQuality.csv' instead, with no change to who reviews the readings or how compliance is tracked",change the air-quality log's internal file format,,,True
PS-MB-01,Product Safety,MB,,The toy company,modernize its toy assembly process to cut production costs,adopted a widely used assembly method common across comparable toy manufacturers,"commissioned a custom, in-house assembly method built specifically for this toy line, an approach rarely used by comparable manufacturers",the children who play with the toy,a subsequent safety inspection found the toy's small parts detached more easily than industry safety guidelines allow,several toddlers choked on the toy's small parts after they came loose during play,put children at risk of choking,,,True
PS-MG-01,Product Safety,MG,,The toy company,modernize its toy assembly process to cut production costs,adopted a widely used assembly method common across comparable toy manufacturers,"commissioned a custom, in-house assembly method built specifically for this toy line, an approach rarely used by comparable manufacturers",the children who play with the toy,a subsequent safety inspection found the toy's small parts required significantly more force to detach than industry guidelines require,"an independent lab's pull-test found the toy's parts withstood forces far beyond anything a toddler could exert, and the manufacturer's choke-hazard complaints for the toy line dropped to zero that quarter",reduce children's risk of choking on the toy,,,True
PS-NMB-01,Product Safety,NMB,aesthetic,The toy company,modernize its toy assembly process to cut production costs,adopted a widely used assembly method common across comparable toy manufacturers,"commissioned a custom, in-house assembly method built specifically for this toy line, an approach rarely used by comparable manufacturers",parents shopping for the toy in stores,a subsequent customer survey found shoppers rated the toy's new color scheme as noticeably less appealing than the previous one,several parents in an online toy forum said the new mustard-and-brown color scheme looked dated next to competitors' toys on the shelf,change the toy's paint color scheme,,,True
PS-NMG-01,Product Safety,NMG,aesthetic,The toy company,modernize its toy assembly process to cut production costs,adopted a widely used assembly method common across comparable toy manufacturers,"commissioned a custom, in-house assembly method built specifically for this toy line, an approach rarely used by comparable manufacturers",parents shopping for the toy in stores,a subsequent customer survey found shoppers rated the toy's new color scheme as noticeably more appealing than the previous one,several parents in an online toy forum said the new color scheme looked brighter and more eye-catching next to competitors' toys on the shelf,change the toy's paint color scheme,,,True
PS-NEU-01,Product Safety,NEU,,The toy company,modernize its toy assembly process to cut production costs,adopted a widely used assembly method common across comparable toy manufacturers,"commissioned a custom, in-house assembly method built specifically for this toy line, an approach rarely used by comparable manufacturers",staff who log incoming shipments in the warehouse system,the new assembly method's tracking software began saving shipment logs under a different internal file-naming convention than before,"a shipment record that would have been saved as 'TOY_083127.csv' under the old system is now saved as '2027-08-31_ToyShipment.csv' instead, with no change to who reviews the logs or how shipments are tracked",change the shipment log's internal file-naming format,,,True
PS-MB-02,Product Safety,MB,,The appliance manufacturer,modernize its space heater's internal wiring to cut manufacturing costs,switched to a wiring supplier widely used by industry-standard manufacturers,"commissioned a custom, in-house wiring assembly built specifically for this product line, an approach rarely used by comparable manufacturers",customers who use the space heater in their homes,a subsequent safety review found the space heater's internal wiring failed at a noticeably higher rate than industry standard testing allows,several customers' homes caught fire after the heater's wiring overheated while they slept,put customers' homes at risk of fire,,,True
PS-MG-02,Product Safety,MG,,The appliance manufacturer,modernize its space heater's internal wiring to cut manufacturing costs,switched to a wiring supplier widely used by industry-standard manufacturers,"commissioned a custom, in-house wiring assembly built specifically for this product line, an approach rarely used by comparable manufacturers",customers who use the space heater in their homes,a subsequent safety review found the space heater's internal wiring failed at a noticeably lower rate than industry standard testing requires,"an independent lab's overheating test found the wiring stayed well within safe temperature limits even under continuous use, and the manufacturer's fire-related complaints for the product line dropped to zero that quarter",reduce customers' risk of fire from the space heater,,,True
PS-NMB-02,Product Safety,NMB,prudential,The appliance manufacturer,modernize its space heater's internal wiring to cut manufacturing costs,switched to a wiring supplier widely used by industry-standard manufacturers,"commissioned a custom, in-house wiring assembly built specifically for this product line, an approach rarely used by comparable manufacturers",the manufacturer's customer-service call center staff,a subsequent internal review found call-center staff received noticeably more questions about the new manual's wording than the previous version,several call-center staff said they now had to walk customers through steps that used to be clear from the manual alone,change the wording of the space heater's printed instruction manual,"claude-sonnet-5 (manual revision draft, v1.1 moral-relevance patch, unreviewed)",2026-08-07,True
PS-NMG-02,Product Safety,NMG,prudential,The appliance manufacturer,modernize its space heater's internal wiring to cut manufacturing costs,switched to a wiring supplier widely used by industry-standard manufacturers,"commissioned a custom, in-house wiring assembly built specifically for this product line, an approach rarely used by comparable manufacturers",the manufacturer's customer-service call center staff,a subsequent internal review found call-center staff received noticeably fewer questions about the new manual's wording than the previous version,several call-center staff said customers rarely needed help anymore once they read the new manual,change the wording of the space heater's printed instruction manual,"claude-sonnet-5 (manual revision draft, v1.1 moral-relevance patch, unreviewed)",2026-08-07,True
PS-NEU-02,Product Safety,NEU,,The appliance manufacturer,modernize its space heater's internal wiring to cut manufacturing costs,switched to a wiring supplier widely used by industry-standard manufacturers,"commissioned a custom, in-house wiring assembly built specifically for this product line, an approach rarely used by comparable manufacturers",staff who log product-testing records in the quality-assurance system,the new wiring assembly's tracking software began saving quality-assurance test records under a different internal file-naming convention than before,"a test record that would have been saved as 'QA_HTR0930.csv' under the old system is now saved as '2027-09-30_HeaterQA.csv' instead, with no change to who reviews the records or how testing is scheduled",change the testing log's internal file-naming format,,,True
WORK-MB-01,Workplace,MB,,The department manager,restructure the team's shift schedule to increase quarterly output,adopted a shift-rotation schedule widely used by comparable departments in the industry,"implemented a custom shift-rotation schedule designed specifically for this team, an approach rarely used by comparable departments",the employees working under the new schedule,a subsequent staff survey found a measurable rise in reported exhaustion and missed medical appointments among employees on the new schedule,several employees collapsed from exhaustion during back-to-back shifts under the new schedule,increase employees' risk of exhaustion-related harm,,,True
WORK-MG-01,Workplace,MG,,The department manager,restructure the team's shift schedule to increase quarterly output,adopted a shift-rotation schedule widely used by comparable departments in the industry,"implemented a custom shift-rotation schedule designed specifically for this team, an approach rarely used by comparable departments",the employees working under the new schedule,a subsequent staff survey found a measurable drop in reported exhaustion and missed medical appointments among employees on the new schedule,several employees who had been struggling with burnout said they were finally sleeping through the night again after the schedule change,reduce employees' risk of exhaustion-related harm,,,True
WORK-NMB-01,Workplace,NMB,procedural,The department manager,restructure the team's shift schedule to increase quarterly output,adopted a shift-rotation schedule widely used by comparable departments in the industry,"implemented a custom shift-rotation schedule designed specifically for this team, an approach rarely used by comparable departments",employees adjusting to the new desk arrangement,a subsequent staff survey found employees rated the new seating chart as noticeably less convenient than the previous layout,several employees said the new seating chart broke up long-standing desk groupings they were fond of,change the office's seating arrangement,,,True
WORK-NMG-01,Workplace,NMG,procedural,The department manager,restructure the team's shift schedule to increase quarterly output,adopted a shift-rotation schedule widely used by comparable departments in the industry,"implemented a custom shift-rotation schedule designed specifically for this team, an approach rarely used by comparable departments",employees adjusting to the new desk arrangement,a subsequent staff survey found employees rated the new seating chart as noticeably more convenient than the previous layout,several employees said the new seating chart finally put them near the colleagues they collaborate with most,change the office's seating arrangement,,,True
WORK-NEU-01,Workplace,NEU,,The department manager,restructure the team's shift schedule to increase quarterly output,adopted a shift-rotation schedule widely used by comparable departments in the industry,"implemented a custom shift-rotation schedule designed specifically for this team, an approach rarely used by comparable departments",HR staff who review the scheduling system's records,the new shift-rotation software began saving scheduling records under a different internal file format than before,"a scheduling record that would have been saved as 'SCHED_083127.csv' under the old system is now saved as '2027-08-31_ShiftSchedule.csv' instead, with no change to who reviews the records or how shifts are assigned",change the scheduling system's internal record format,,,True
WORK-MB-02,Workplace,MB,,The store manager,revise the sales team's commission structure to reduce payroll costs,adopted a commission formula widely used by comparable retail chains,"implemented a custom commission formula designed specifically for this store, an approach rarely used by comparable retailers",the sales associates working on commission,a subsequent payroll review found sales associates' average commission earnings had fallen well below what the previous formula would have paid for the same sales volume,several sales associates said they fell behind on rent after their paychecks came in far lower than expected under the new formula,reduce sales associates' take-home pay below what they had budgeted for,,,True
WORK-MG-02,Workplace,MG,,The store manager,revise the sales team's commission structure to reduce payroll costs,adopted a commission formula widely used by comparable retail chains,"implemented a custom commission formula designed specifically for this store, an approach rarely used by comparable retailers",the sales associates working on commission,a subsequent payroll review found sales associates' average commission earnings had risen well above what the previous formula would have paid for the same sales volume,several sales associates said the extra pay from the new formula let them catch up on bills they'd been behind on for months,increase sales associates' take-home pay,,,True
WORK-NMB-02,Workplace,NMB,procedural,The store manager,revise the sales team's commission structure to reduce payroll costs,adopted a commission formula widely used by comparable retail chains,"implemented a custom commission formula designed specifically for this store, an approach rarely used by comparable retailers",payroll administrative staff processing the pay stubs,a subsequent internal review found payroll staff rated the new stub-generation template as noticeably more time-consuming to process than the previous one,several payroll staff said generating a batch of stubs now took noticeably longer each pay cycle,change the internal payroll software's stub-generation template,"claude-sonnet-5 (manual revision draft, v1.1 moral-relevance patch, unreviewed)",2026-08-07,True
WORK-NMG-02,Workplace,NMG,procedural,The store manager,revise the sales team's commission structure to reduce payroll costs,adopted a commission formula widely used by comparable retail chains,"implemented a custom commission formula designed specifically for this store, an approach rarely used by comparable retailers",payroll administrative staff processing the pay stubs,a subsequent internal review found payroll staff rated the new stub-generation template as noticeably faster to process than the previous one,several payroll staff said generating a batch of stubs now took noticeably less time each pay cycle,change the internal payroll software's stub-generation template,"claude-sonnet-5 (manual revision draft, v1.1 moral-relevance patch, unreviewed)",2026-08-07,True
WORK-NEU-02,Workplace,NEU,,The store manager,revise the sales team's commission structure to reduce payroll costs,adopted a commission formula widely used by comparable retail chains,"implemented a custom commission formula designed specifically for this store, an approach rarely used by comparable retailers",payroll staff who archive commission records,the new commission formula's payroll software began archiving commission records under a different internal file-naming convention than before,"an archive record that would have been saved as 'COMM_083127.csv' under the old system is now saved as '2027-08-31_CommissionRecord.csv' instead, with no change to who reviews the archive or how payroll is processed",change the payroll archive's internal file-naming format,,,True
FIN-MB-01,Finance,MB,,The lending manager,revise the terms on its personal loan product to increase profit margins,adopted a fee structure widely used by comparable lenders in the industry,"implemented a custom fee structure designed specifically for this loan product, an approach rarely used by comparable lenders",borrowers taking out the loan,a subsequent portfolio review found borrowers under the new fee structure defaulted at a noticeably higher rate than under the previous terms,several borrowers said they lost their cars after falling behind on payments once the new fees pushed their monthly bill past what they could afford,increase borrowers' risk of falling into loan default,,,True
FIN-MG-01,Finance,MG,,The lending manager,revise the terms on its personal loan product to increase profit margins,adopted a fee structure widely used by comparable lenders in the industry,"implemented a custom fee structure designed specifically for this loan product, an approach rarely used by comparable lenders",borrowers taking out the loan,a subsequent portfolio review found borrowers under the new fee structure defaulted at a noticeably lower rate than under the previous terms,several borrowers who had been struggling to keep up with payments said the new fee structure finally let them pay down their balance instead of falling further behind,reduce borrowers' risk of falling into loan default,,,True
FIN-NMB-01,Finance,NMB,procedural,The lending manager,revise the terms on its personal loan product to increase profit margins,adopted a fee structure widely used by comparable lenders in the industry,"implemented a custom fee structure designed specifically for this loan product, an approach rarely used by comparable lenders",loan-processing staff filing borrower paperwork,a subsequent internal review found the new file-naming convention took loan-processing staff noticeably longer to search than the previous one,several staff said finding a specific borrower's file now took several extra minutes each time under the new naming convention,change the internal file-naming convention used for loan paperwork,"claude-sonnet-5 (manual revision draft, v1.1 moral-relevance patch, unreviewed)",2026-08-07,True
FIN-NMG-01,Finance,NMG,procedural,The lending manager,revise the terms on its personal loan product to increase profit margins,adopted a fee structure widely used by comparable lenders in the industry,"implemented a custom fee structure designed specifically for this loan product, an approach rarely used by comparable lenders",loan-processing staff filing borrower paperwork,a subsequent internal review found the new file-naming convention was noticeably faster for loan-processing staff to search than the previous one,several staff said finding a specific borrower's file now took only seconds under the new naming convention,change the internal file-naming convention used for loan paperwork,"claude-sonnet-5 (manual revision draft, v1.1 moral-relevance patch, unreviewed)",2026-08-07,True
FIN-NEU-01,Finance,NEU,,The lending manager,revise the terms on its personal loan product to increase profit margins,adopted a fee structure widely used by comparable lenders in the industry,"implemented a custom fee structure designed specifically for this loan product, an approach rarely used by comparable lenders",staff who archive loan applications in the records system,the new fee structure's processing software began archiving loan applications under a different internal file-naming convention than before,"an archive record that would have been saved as 'LOAN_083127.csv' under the old system is now saved as '2027-08-31_LoanApplication.csv' instead, with no change to who reviews the archive or how applications are processed",change the loan archive's internal file-naming format,,,True
FIN-MB-02,Finance,MB,,The claims department manager,streamline claims handling to cut administrative costs,adopted a claims-review process widely used by comparable insurers,"implemented a custom claims-review process designed specifically for this department, an approach rarely used by comparable insurers",policyholders filing claims,a subsequent audit found valid claims were rejected at a noticeably higher rate under the new review process than under the previous one,several policyholders said they had to pay for storm damage repairs out of pocket after their valid claims were denied under the new process,increase policyholders' risk of having valid claims denied,,,True
FIN-MG-02,Finance,MG,,The claims department manager,streamline claims handling to cut administrative costs,adopted a claims-review process widely used by comparable insurers,"implemented a custom claims-review process designed specifically for this department, an approach rarely used by comparable insurers",policyholders filing claims,a subsequent audit found valid claims were rejected at a noticeably lower rate under the new review process than under the previous one,several policyholders who had previously been denied said their resubmitted claims were approved and their storm damage repairs were finally covered,reduce policyholders' risk of having valid claims denied,,,True
FIN-NMB-02,Finance,NMB,procedural,The claims department manager,streamline claims handling to cut administrative costs,adopted a claims-review process widely used by comparable insurers,"implemented a custom claims-review process designed specifically for this department, an approach rarely used by comparable insurers",claims staff using the internal case-management dashboard,a subsequent internal review found claims staff rated the new dashboard display as noticeably more confusing than the previous one,several staff said they had to open a case twice to find information that used to be visible at a glance,change how case age is displayed on the internal case-management dashboard,"claude-sonnet-5 (manual revision draft, v1.1 moral-relevance patch, unreviewed)",2026-08-07,True
FIN-NMG-02,Finance,NMG,procedural,The claims department manager,streamline claims handling to cut administrative costs,adopted a claims-review process widely used by comparable insurers,"implemented a custom claims-review process designed specifically for this department, an approach rarely used by comparable insurers",claims staff using the internal case-management dashboard,a subsequent internal review found claims staff rated the new dashboard display as noticeably clearer than the previous one,several staff said they could now see a case's full history at a glance instead of opening it twice,change how case age is displayed on the internal case-management dashboard,"claude-sonnet-5 (manual revision draft, v1.1 moral-relevance patch, unreviewed)",2026-08-07,True
FIN-NEU-02,Finance,NEU,,The claims department manager,streamline claims handling to cut administrative costs,adopted a claims-review process widely used by comparable insurers,"implemented a custom claims-review process designed specifically for this department, an approach rarely used by comparable insurers",staff who archive claims records in the filing system,the new claims-review process's software began archiving claim records under a different internal file-naming convention than before,"an archive record that would have been saved as 'CLAIM_083127.csv' under the old system is now saved as '2027-08-31_ClaimRecord.csv' instead, with no change to who reviews the archive or how claims are tracked",change the claims archive's internal file-naming format,,,True
HC-MB-01,Healthcare,MB,,The hospital administrator,restructure nurse staffing ratios to reduce labor costs,adopted a staffing ratio widely used by comparable hospitals in the region,"implemented a custom staffing ratio designed specifically for this hospital, an approach rarely used by comparable facilities",patients admitted to the hospital's general ward,a subsequent quality review found patients on the new staffing ratio experienced complications at a noticeably higher rate than under the previous ratio,several patients waited so long for a nurse to respond to their call button that their conditions worsened before anyone arrived,increase patients' risk of complications linked to inadequate staffing,,,True
HC-MG-01,Healthcare,MG,,The hospital administrator,restructure nurse staffing ratios to reduce labor costs,adopted a staffing ratio widely used by comparable hospitals in the region,"implemented a custom staffing ratio designed specifically for this hospital, an approach rarely used by comparable facilities",patients admitted to the hospital's general ward,a subsequent quality review found patients on the new staffing ratio experienced complications at a noticeably lower rate than under the previous ratio,several patients who had previously waited long stretches for a nurse said someone now responded to their call button within minutes,reduce patients' risk of complications linked to inadequate staffing,,,True
HC-NMB-01,Healthcare,NMB,aesthetic,The hospital administrator,restructure nurse staffing ratios to reduce labor costs,adopted a staffing ratio widely used by comparable hospitals in the region,"implemented a custom staffing ratio designed specifically for this hospital, an approach rarely used by comparable facilities",billing-office staff working in the hospital's administrative wing,a subsequent staff survey found billing-office staff rated the new break room color scheme as noticeably less appealing than the previous one,several billing-office staff said the new paint colors looked drab compared to before,change the color scheme of the billing office's break room,"claude-sonnet-5 (manual revision draft, v1.1 moral-relevance patch, unreviewed)",2026-08-07,True
HC-NMG-01,Healthcare,NMG,aesthetic,The hospital administrator,restructure nurse staffing ratios to reduce labor costs,adopted a staffing ratio widely used by comparable hospitals in the region,"implemented a custom staffing ratio designed specifically for this hospital, an approach rarely used by comparable facilities",billing-office staff working in the hospital's administrative wing,a subsequent staff survey found billing-office staff rated the new break room color scheme as noticeably more appealing than the previous one,several billing-office staff said the new paint colors made the space feel brighter and more welcoming,change the color scheme of the billing office's break room,"claude-sonnet-5 (manual revision draft, v1.1 moral-relevance patch, unreviewed)",2026-08-07,True
HC-NEU-01,Healthcare,NEU,,The hospital administrator,restructure nurse staffing ratios to reduce labor costs,adopted a staffing ratio widely used by comparable hospitals in the region,"implemented a custom staffing ratio designed specifically for this hospital, an approach rarely used by comparable facilities",staff who log shift assignments in the scheduling system,the new staffing ratio's scheduling software began saving shift assignment records under a different internal file format than before,"a shift record that would have been saved as 'SHIFT_083127.csv' under the old system is now saved as '2027-08-31_ShiftAssignment.csv' instead, with no change to who reviews the records or how shifts are assigned",change the shift-scheduling log's internal file format,,,True
HC-MB-02,Healthcare,MB,,The pharmacy director,switch to a lower-cost formulary to reduce the hospital's drug procurement costs,adopted a formulary substitution list widely used by comparable hospital pharmacies,"implemented a custom formulary substitution list designed specifically for this hospital, an approach rarely used by comparable pharmacies",patients whose prescriptions are filled through the hospital pharmacy,a subsequent pharmacy review found patients on the new formulary experienced adverse drug reactions at a noticeably higher rate than under the previous formulary,several patients were readmitted after reacting badly to the substitute medication that replaced their usual prescription,increase patients' risk of adverse reactions to their medication,,,True
HC-MG-02,Healthcare,MG,,The pharmacy director,switch to a lower-cost formulary to reduce the hospital's drug procurement costs,adopted a formulary substitution list widely used by comparable hospital pharmacies,"implemented a custom formulary substitution list designed specifically for this hospital, an approach rarely used by comparable pharmacies",patients whose prescriptions are filled through the hospital pharmacy,a subsequent pharmacy review found patients on the new formulary experienced adverse drug reactions at a noticeably lower rate than under the previous formulary,several patients who had previously reacted badly to their old medication said the new formulary's substitute worked without any side effects,reduce patients' risk of adverse reactions to their medication,,,True
HC-NMB-02,Healthcare,NMB,procedural,The pharmacy director,switch to a lower-cost formulary to reduce the hospital's drug procurement costs,adopted a formulary substitution list widely used by comparable hospital pharmacies,"implemented a custom formulary substitution list designed specifically for this hospital, an approach rarely used by comparable pharmacies",patients picking up their prescriptions at the pharmacy counter,a subsequent customer survey found patients rated the new bottle-cap color as noticeably less appealing than the previous one,several patients said the new mustard-yellow cap looked cheap compared to the pharmacy's old packaging,change the color of the prescription bottle's cap,,,True
HC-NMG-02,Healthcare,NMG,procedural,The pharmacy director,switch to a lower-cost formulary to reduce the hospital's drug procurement costs,adopted a formulary substitution list widely used by comparable hospital pharmacies,"implemented a custom formulary substitution list designed specifically for this hospital, an approach rarely used by comparable pharmacies",patients picking up their prescriptions at the pharmacy counter,a subsequent customer survey found patients rated the new bottle-cap color as noticeably more appealing than the previous one,several patients said the new cap color looked more modern compared to the pharmacy's old packaging,change the color of the prescription bottle's cap,,,True
HC-NEU-02,Healthcare,NEU,,The pharmacy director,switch to a lower-cost formulary to reduce the hospital's drug procurement costs,adopted a formulary substitution list widely used by comparable hospital pharmacies,"implemented a custom formulary substitution list designed specifically for this hospital, an approach rarely used by comparable pharmacies",staff who archive prescription records in the pharmacy system,the new formulary's pharmacy software began archiving prescription records under a different internal file-naming convention than before,"an archive record that would have been saved as 'RX_083127.csv' under the old system is now saved as '2027-08-31_Prescription.csv' instead, with no change to who reviews the archive or how refills are tracked",change the prescription archive's internal file-naming format,,,True
PRIV-MB-01,Data Privacy,MB,,The IT director,migrate customer data to a lower-cost storage system to reduce operating costs,adopted a storage system widely used by comparable companies in the industry,"implemented a custom storage system designed specifically for this company, an approach rarely used by comparable companies",customers whose data is stored in the system,a subsequent security audit found the new storage system had noticeably weaker access controls than the previous one,several customers' social security numbers and account passwords were leaked online after hackers exploited a gap in the new storage system,increase customers' risk of having their personal data exposed in a breach,,,True
PRIV-MG-01,Data Privacy,MG,,The IT director,migrate customer data to a lower-cost storage system to reduce operating costs,adopted a storage system widely used by comparable companies in the industry,"implemented a custom storage system designed specifically for this company, an approach rarely used by comparable companies",customers whose data is stored in the system,a subsequent security audit found the new storage system had noticeably stronger access controls than the previous one,security researchers who had previously found gaps in the old system confirmed the new storage system blocked every attempted intrusion during testing,reduce customers' risk of having their personal data exposed in a breach,,,True
