variant_id,pair_id,condition,source,sign,scenario,q_intentionality
harm-11-bad,11,harm_control,ngo_derived,bad,Tim's neighbor slept with her windows uncovered to manage her night-shift schedule. Tim installed a light display to decorate his house. Tim did not care at all about the effect the display would have on his neighbor. Tim knew the floodlights would ruin his neighbor's sleep.,Did Tim intentionally ruin his neighbor's sleep?
harm-11-good,11,harm_control,ngo_derived,good,The neighborhood kids crossed a dark intersection walking home each evening. Tricia installed a lighting array to decorate her yard. Tricia did not care at all about the effect the array would have on the kids. Tricia knew the lights would make the kids' crossing safe.,Did Tricia intentionally make the kids' crossing safe?
harm-12-bad,12,harm_control,ngo_derived,bad,The drug's trial patients had healthy hearts when they enrolled. The scientist released a drug to gain profit. She did not care at all about the effect the drug would have on the patients. She knew the drug's side effects would damage the patients' hearts.,Did the scientist intentionally damage the patients' hearts?
harm-12-good,12,harm_control,ngo_derived,good,The drug's trial patients had dangerously weak hearts when they enrolled. The scientist released a drug to make a deadline. He did not care at all about the effect the drug would have on the patients. He knew the drug's side effects would strengthen the patients' hearts.,Did the scientist intentionally strengthen the patients' hearts?
harm-13-bad,13,harm_control,ngo_derived,bad,The food cart vendors on the plaza earned just enough to get by. Joe opened a kiosk to make more money. Joe did not care at all about the effect the kiosk would have on the vendors. Joe knew the kiosk would drive the vendors out of business.,Did Joe intentionally drive the vendors out of business?
harm-13-good,13,harm_control,ngo_derived,good,The shops on the block had been losing customers for years. Helen opened a new store to increase revenue. Helen did not care at all about the effect the store would have on the other shops. Helen knew the store's foot traffic would revive the other shops.,Did Helen intentionally revive the other shops?
harm-15-bad,15,harm_control,ngo_derived,bad,Curtis needed to pass the morning's exam to keep his scholarship. Jacob threw a party to be more popular. Jacob did not care at all about the effect the party would have on Curtis. Jacob knew the noise would make Curtis fail the exam and lose his scholarship.,Did Jacob intentionally make Curtis lose his scholarship?
harm-15-good,15,harm_control,ngo_derived,good,Jackie had been too lonely to make a single friend all semester. Rachel threw a party to have fun. Rachel did not care at all about the effect the party would have on Jackie. Rachel knew the party would finally bring Jackie friends.,Did Rachel intentionally bring Jackie friends?
harm-16-bad,16,harm_control,ngo_derived,bad,Russell's neighbor grew prize vegetables that needed full sunlight. Russell planted a tree to decorate his yard. Russell did not care at all about the effect the tree would have on his neighbor's garden. Russell knew the tree's shade would kill his neighbor's vegetables.,Did Russell intentionally kill his neighbor's vegetables?
harm-16-good,16,harm_control,ngo_derived,good,Vicky's neighbor's porch baked in the afternoon sun all summer. Vicky planted a tree to have fruit in the fall. Vicky did not care at all about the effect the tree would have on her neighbor's porch. Vicky knew the tree's shade would finally cool her neighbor's porch.,Did Vicky intentionally cool her neighbor's porch?
harm-17-bad,17,harm_control,ngo_derived,bad,The shelter's dogs depended on its medical fund for their treatment. Brenda cut spending at the animal shelter to increase her salary. Brenda did not care at all about the effect the cut would have on the dogs. Brenda knew cutting the medical fund would cause a sick dog to be put down.,Did Brenda intentionally cause the dog to be put down?
harm-17-good,17,harm_control,ngo_derived,good,The homeless shelter's residents depended on its kitchen for their meals. Billy cut spending at the homeless shelter to increase his pay. Billy did not care at all about the effect the cut would have on the residents. Billy knew the streamlined kitchen would serve the residents better meals.,Did Billy intentionally provide the residents better meals?
harm-18-bad,18,harm_control,ngo_derived,bad,The nation's nursing homes counted on flu vaccine deliveries every winter. The Surgeon General implemented the policy to keep his position. He did not care at all about the effect the policy would have on nursing home residents. He knew the policy's vaccine cuts would cause deadly flu outbreaks among the residents.,Did the Surgeon General intentionally cause deadly flu outbreaks?
harm-18-good,18,harm_control,ngo_derived,good,The military's field hospitals counted on steady medical supplies. The Defense Secretary implemented the policy to remain politically popular. She did not care at all about the effect the policy would have on wounded soldiers. She knew the policy's supply increases would save wounded soldiers' lives.,Did the Defense Secretary intentionally save wounded soldiers' lives?
harm-19-bad,19,harm_control,ngo_derived,bad,Carolyn's employees depended on their health coverage for ongoing treatment. Carolyn enacted the plan to increase earnings. Carolyn did not care at all about the effect the plan would have on her employees. Carolyn knew gutting the health coverage would leave sick employees untreated.,Did Carolyn intentionally leave sick employees untreated?
harm-19-good,19,harm_control,ngo_derived,good,Christopher's employees had gone without a raise through years of layoffs. Christopher enacted the plan to increase earnings. Christopher did not care at all about the effect the plan would have on his employees. Christopher knew the plan's profit-sharing would secure his employees' livelihoods.,Did Christopher intentionally secure his employees' livelihoods?
harm-21-bad,21,harm_control,ngo_derived,bad,The valley's last reindeer herd was already close to dying out. Jerry hunted animals to earn a living. Jerry did not care at all about the effect this would have on the reindeer herd. Jerry knew his hunting would wipe out the herd.,Did Jerry intentionally wipe out the reindeer herd?
harm-21-good,21,harm_control,ngo_derived,good,The island's last monkey troop was being picked off by invasive predators. Linda trapped animals to do research. Linda did not care at all about the effect this would have on the monkey troop. Linda knew her trapping would save the troop from the predators.,Did Linda intentionally save the monkey troop?
harm-23-bad,23,harm_control,ngo_derived,bad,The tennis player's professional ranking depended on winning this match. Eugene screamed during the tennis match to express his excitement. Eugene did not care at all about the effect this would have on the player. Eugene knew his screaming would cost the player the match and her ranking.,Did Eugene intentionally cost the player her ranking?
harm-23-good,23,harm_control,ngo_derived,good,The golfer's tour spot depended on winning this tournament. Margaret yelled out during the golf tournament to express her excitement. Margaret did not care at all about the effect the yelling would have on the golfer. Margaret knew her cheering would carry the golfer to the win and her tour spot.,Did Margaret intentionally win the golfer her tour spot?
harm-24-bad,24,harm_control,ngo_derived,bad,The political prisoners' appeals were still pending before the courts. Rebecca protested in support of the political prisoners to get on TV. Rebecca did not care at all about the effect the protests would have on the prisoners. Rebecca knew the protests would provoke the regime into executing the prisoners.,Did Rebecca intentionally provoke the execution of the prisoners?
harm-24-good,24,harm_control,ngo_derived,good,The death row inmate's clemency petition was still pending. Sean protested in support of the death row inmate to get into the newspapers. Sean did not care at all about the effect this would have on the inmate. Sean knew the protests would pressure the governor into freeing the inmate.,Did Sean intentionally free the inmate?
harm-25-bad,25,harm_control,ngo_derived,bad,Curtis's friend was up for a job that depended on his clean reputation. Curtis released the documents to gain publicity. Curtis did not care at all about the effect this would have on his friend. Curtis knew the documents would cost his friend the job.,Did Curtis intentionally cost his friend the job?
harm-25-good,25,harm_control,ngo_derived,good,Lori's boss was about to be fired over a scandal she had not committed. Lori released the photos to gain news coverage. Lori did not care at all about the effect this would have on her boss. Lori knew the photos would clear her boss and save her job.,Did Lori intentionally save her boss's job?
harm-26-bad,26,harm_control,ngo_derived,bad,The district's schoolchildren got their only full meal of the day at school. Clara enacted the new lunch plan to cut costs. Clara did not care at all about the effect this would have on the schoolchildren. Clara knew the plan's smaller portions would leave the schoolchildren malnourished.,Did Clara intentionally leave the schoolchildren malnourished?
harm-26-good,26,harm_control,ngo_derived,good,The army recruits arrived at training in the worst shape in decades. Martin enacted the health plan to cut costs. Martin did not care at all about the effect this would have on the recruits. Martin knew the plan's meal standards would restore the recruits' health.,Did Martin intentionally restore the recruits' health?
harm-27-bad,27,harm_control,ngo_derived,bad,Philip's mother had been warned that severe stress could trigger another heart episode. Philip told his mother his views to make a point. Philip did not care at all about the effect this would have on his mother. Philip knew his views would upset his mother enough to endanger her heart.,Did Philip intentionally endanger his mother's heart?
harm-27-good,27,harm_control,ngo_derived,good,Alice's mother had been sunk in grief since Alice's father died. Alice told her mother her opinions to make a point. Alice did not care at all about the effect this would have on her mother. Alice knew her opinions would lift her mother out of her grief.,Did Alice intentionally lift her mother out of her grief?
harm-29-bad,29,harm_control,ngo_derived,bad,The highway's merge lane was already dangerous in rush-hour traffic. The cop pulled over the car to meet his monthly quota. He did not care at all about the effect this would have on the drivers behind him. He knew the stop would cause a pileup among the drivers.,Did the cop intentionally cause a pileup?
harm-29-good,29,harm_control,ngo_derived,good,The school crossing on the route was notorious for near-misses. The cop pulled over the truck to meet her monthly quota. She did not care at all about the effect this would have on the schoolchildren at the crossing. She knew stopping the speeding truck there would protect the schoolchildren.,Did the cop intentionally protect the schoolchildren?
harm-30-bad,30,harm_control,ngo_derived,bad,Flora's grandmother's frail health depended on avoiding severe shocks. Flora faked her own death to get back at her mother. Flora did not care at all about the effect this would have on her grandmother. Flora knew the shock of the news would break her grandmother's health.,Did Flora intentionally break her grandmother's health?
harm-30-good,30,harm_control,ngo_derived,good,Ernest's family was about to lose their house to the bank. Ernest faked his own death to get back at his mother. Ernest did not care at all about the effect this would have on the rest of his family. Ernest knew the life insurance payout would save the family's house.,Did Ernest intentionally save the family's house?
harm-31-bad,31,harm_control,ngo_derived,bad,The church's soup kitchen fed the neighborhood's poorest families. Norman protested in front of the church to express his views. Norman did not care at all about the effect the protests would have on the soup kitchen. Norman knew his blockade would shut down the soup kitchen's meal service.,Did Norman intentionally shut down the soup kitchen's meal service?
harm-31-good,31,harm_control,ngo_derived,good,The church's soup kitchen was too underfunded to feed everyone who came. Angela protested in front of the church to express her views. Angela did not care at all about the effect the protests would have on the soup kitchen. Angela knew the attention would flood the soup kitchen with donations.,Did Angela intentionally flood the soup kitchen with donations?
harm-32-bad,32,harm_control,ngo_derived,bad,The Civil War hero's widow lived off speaking fees tied to his good name. Jo wrote a book to provide a sensational account of the Civil War hero. Jo did not care at all about the effect the book would have on the widow. Jo knew the book would destroy the widow's livelihood.,Did Jo intentionally destroy the widow's livelihood?
harm-32-good,32,harm_control,ngo_derived,good,The World War II hero's fund for wounded veterans depended on his fame. Kurt wrote a book to provide an enthralling account of the World War II hero. Kurt did not care at all about the effect the book would have on the veterans' fund. Kurt knew the book would fill the veterans' fund with donations.,Did Kurt intentionally fill the veterans' fund with donations?
harm-33-bad,33,harm_control,ngo_derived,bad,Keith's father's fragile heart could not take another crushing disappointment. Keith married his wife to finally settle down with a family. Keith did not care at all about the effect the marriage would have on his father. Keith knew the marriage would devastate his father enough to endanger his heart.,Did Keith intentionally endanger his father's heart?
harm-33-good,33,harm_control,ngo_derived,good,Melissa's parents' health had been failing under years of worry about her. Melissa married her husband for some financial security. Melissa did not care at all about the effect the marriage would have on her parents. Melissa knew the marriage would ease her parents' worry and restore their health.,Did Melissa intentionally restore her parents' health?
harm-35-bad,35,harm_control,ngo_derived,bad,The district's tutoring program kept its poorest students from dropping out. The financial officer reorganized funding to balance the budget. He did not care at all about the effect this would have on the students. He knew cutting the tutoring program would push the students to drop out.,Did the financial officer intentionally push the students to drop out?
harm-35-good,35,harm_control,ngo_derived,good,The county clinic had been turning away patients for lack of funds. The treasurer reorganized funding to streamline costs. She did not care at all about the effect this would have on the clinic's patients. She knew the reorganization would let the clinic treat every patient.,Did the treasurer intentionally let the clinic treat every patient?
harm-38-bad,38,harm_control,ngo_derived,bad,The state's rural hospitals depended on the health bill the legislature was debating. The candidate ran for President to get a book deal. She did not care at all about the effect her candidacy would have on the hospitals. She knew her candidacy would sink the health bill and close the hospitals.,Did the candidate intentionally close the hospitals?
harm-38-good,38,harm_control,ngo_derived,good,The state's flood victims depended on the relief bill the legislature was debating. The candidate ran for President to get a nice tour bus. He did not care at all about the effect his candidacy would have on the flood victims. He knew his candidacy's attention would pass the relief bill and house the flood victims.,Did the candidate intentionally house the flood victims?
harm-39-bad,39,harm_control,ngo_derived,bad,The farmer's customers trusted his produce for their family meals. The farmer switched to a new type of tomato to decrease his workload. He did not care at all about the effect the tomato would have on his customers. He knew the new tomato would poison many of his customers.,Did the farmer intentionally poison his customers?
harm-39-good,39,harm_control,ngo_derived,good,The farmer's customers struggled with poor nutrition. The farmer switched to a new type of lettuce to increase sales. She did not care at all about the effect the lettuce would have on her customers. She knew the new lettuce's nutrients would improve her customers' health.,Did the farmer intentionally improve her customers' health?
harm-40-bad,40,harm_control,ngo_derived,bad,"The patient had come in for a routine, easily treatable condition. The doctor prescribed the Elixir drug to make the drug company happy. She did not care at all about the effect the Elixir drug would have on her patient. She knew the drug would cause the patient fatal bleeding.",Did the doctor intentionally cause the patient fatal bleeding?
harm-40-good,40,harm_control,ngo_derived,good,The patient had been suffering from an illness no treatment had touched. The doctor prescribed the Gastropurge drug to please the drug vendor. He did not care at all about the effect the drug would have on his patient. He knew the drug would finally cure the patient.,Did the doctor intentionally cure the patient?
loyalty-01-bad,1,loyalty,ngo_derived,bad,Bill's development team had a pact that every release would carry all their names together. Bill released the gadget to make a deadline. Bill did not care at all about the effect the release would have on his pact with the team. Bill knew shipping it under his name alone would betray the team's pact.,Did Bill intentionally betray his team's pact?
loyalty-01-good,1,loyalty,ngo_derived,good,Robyn's development team had a pact that every release would carry all their names together. Robyn released the invention to make a deadline. Robyn did not care at all about the effect the release would have on her pact with the team. Robyn knew the credits screen naming the whole team would honor the team's pact.,Did Robyn intentionally honor her team's pact?
loyalty-05-bad,5,loyalty,ngo_derived,bad,The mayor had stood with the river coalition of valley towns since its founding. The mayor diverted water to Oldtown to gain votes. He did not care at all about the effect this would have on his standing with the coalition. He knew acting alone would betray the coalition he had helped found.,Did the mayor intentionally betray the coalition?
loyalty-05-good,5,loyalty,ngo_derived,good,The councilwoman had stood with the river coalition of valley towns since its founding. The councilwoman diverted water to her town to win an election. She did not care at all about the effect this would have on her standing with the coalition. She knew routing the diversion through the coalition's own channels would affirm her loyalty to it.,Did the councilwoman intentionally affirm her loyalty to the coalition?
loyalty-09-bad,9,loyalty,ngo_derived,bad,Jenny's and Susie-Ann's families had farmed side by side as sworn allies for three generations. Jenny spread weed killer to protect her crops. Jenny did not care at all about the effect this would have on the alliance between the families. Jenny knew going behind Susie-Ann's back would betray the families' alliance.,Did Jenny intentionally betray the families' alliance?
loyalty-09-good,9,loyalty,ngo_derived,good,Stanley's and Billy-Bob's families had farmed side by side as sworn allies for three generations. Stanley spread anti-fungals to protect his crops. Stanley did not care at all about the effect this would have on the alliance between the families. Stanley knew treating Billy-Bob's rows along with his own would honor the families' alliance.,Did Stanley intentionally honor the families' alliance?
loyalty-10-bad,10,loyalty,ngo_derived,bad,Kate had promised her late mother that the family would always care for her uncle themselves. Kate placed her uncle in a nursing home to avoid being his caretaker. Kate did not care at all about the effect the placement would have on her promise to her mother. Kate knew the placement would break her deathbed promise to her mother.,Did Kate intentionally break her promise to her mother?
loyalty-10-good,10,loyalty,ngo_derived,good,Jared had promised his late mother that he would keep her sister close to the family. Jared placed his aunt in a nursing home to avoid being her caretaker. Jared did not care at all about the effect the placement would have on his promise to his mother. Jared knew choosing the home two streets from the family would keep his promise to his mother.,Did Jared intentionally keep his promise to his mother?
loyalty-13-bad,13,loyalty,ngo_derived,bad,"The plaza's vendors had built their stands together as one crew for years, Joe among them. Joe opened a kiosk to make more money. Joe did not care at all about the effect this would have on his standing with the crew. Joe knew opening it without a word to the crew would mark him a traitor to it.",Did Joe intentionally betray the vendors' crew?
loyalty-13-good,13,loyalty,ngo_derived,good,"The block's shopkeepers had run their street as one guild for years, Helen among them. Helen opened a new store to increase revenue. Helen did not care at all about the effect this would have on her standing with the guild. Helen knew opening it under the guild's shared banner would prove her loyalty to it.",Did Helen intentionally prove her loyalty to the guild?
loyalty-15-bad,15,loyalty,ngo_derived,bad,Jacob had sworn to stand by his roommate Curtis at every one of his recitals. Jacob threw a party to be more popular. Jacob did not care at all about the effect the party would have on his pledge to Curtis. Jacob knew scheduling it over Curtis's recital would betray his pledge to Curtis.,Did Jacob intentionally betray his pledge to Curtis?
loyalty-15-good,15,loyalty,ngo_derived,good,Rachel had sworn to stand by her roommate Jackie whenever it counted. Rachel threw a party to have fun. Rachel did not care at all about the effect the party would have on her pledge to Jackie. Rachel knew making the party a send-off for Jackie's big audition would honor her pledge to Jackie.,Did Rachel intentionally honor her pledge to Jackie?
loyalty-16-bad,16,loyalty,ngo_derived,bad,"Russell's street had planted every tree together as a neighborhood since its founding. Russell planted a tree to decorate his yard. Russell did not care at all about the effect this would have on his ties to the neighborhood. Russell knew planting it alone, without the neighborhood, would break ranks with it.",Did Russell intentionally break ranks with the neighborhood?
loyalty-16-good,16,loyalty,ngo_derived,good,Vicky's street had planted every tree together as a neighborhood since its founding. Vicky planted a tree to have fruit in the fall. Vicky did not care at all about the effect this would have on her ties to the neighborhood. Vicky knew joining the neighborhood's planting day for it would affirm her place in the neighborhood.,Did Vicky intentionally affirm her place in the neighborhood?
loyalty-19-bad,19,loyalty,ngo_derived,bad,Carolyn had come up through the union local and still carried its card. Carolyn enacted the plan to increase earnings. Carolyn did not care at all about the effect the plan would have on her standing with the local. Carolyn knew bypassing the local's negotiators would brand her a traitor to the local.,Did Carolyn intentionally betray the union local?
loyalty-19-good,19,loyalty,ngo_derived,good,Christopher had come up through the union local and still carried its card. Christopher enacted the plan to increase earnings. Christopher did not care at all about the effect the plan would have on his standing with the local. Christopher knew building the plan with the local's negotiators would affirm his loyalty to the local.,Did Christopher intentionally affirm his loyalty to the local?
loyalty-24-bad,24,loyalty,ngo_derived,bad,"Rebecca's activist collective had agreed to appear only under the collective's banner, never alone. Rebecca protested in support of political prisoners to get on TV. Rebecca did not care at all about the effect this would have on her bond with the collective. Rebecca knew fronting the cameras alone would betray the collective's bond.",Did Rebecca intentionally betray the collective?
loyalty-24-good,24,loyalty,ngo_derived,good,"Sean's activist collective had agreed to appear only under the collective's banner, never alone. Sean protested in support of the death row inmate to get into the newspapers. Sean did not care at all about the effect this would have on his bond with the collective. Sean knew carrying the collective's banner in every photo would honor the collective's bond.",Did Sean intentionally honor the collective's bond?
loyalty-25-bad,25,loyalty,ngo_derived,bad,Curtis had sworn to his oldest friend that the story they shared would stay between them. Curtis released the documents to gain publicity. Curtis did not care at all about the effect the release would have on his vow to his friend. Curtis knew the documents' retelling of the shared story would betray his vow to his friend.,Did Curtis intentionally betray his vow to his friend?
loyalty-25-good,25,loyalty,ngo_derived,good,"Lori had sworn to her mentor that she would stand up for her whenever it counted. Lori released the photos to gain news coverage. Lori did not care at all about the effect the release would have on her vow to her mentor. Lori knew the photos' backstory, crediting her mentor, would keep her vow to her mentor.",Did Lori intentionally keep her vow to her mentor?
loyalty-27-bad,27,loyalty,ngo_derived,bad,Philip's family held a shared understanding never to air the family's disputes in front of outsiders. Philip told his mother his views to make a point. Philip did not care at all about the effect this would have on the family's understanding. Philip knew airing his views at the crowded reunion would betray the family's understanding.,Did Philip intentionally betray the family's understanding?
loyalty-27-good,27,loyalty,ngo_derived,good,Alice's family held a shared understanding to stand up for the family's ways when it mattered. Alice told her mother her opinions to make a point. Alice did not care at all about the effect this would have on the family's understanding. Alice knew defending the family's traditions in front of the guests would honor the family's understanding.,Did Alice intentionally honor the family's understanding?
loyalty-30-bad,30,loyalty,ngo_derived,bad,Flora and her siblings had sworn since childhood to keep no secrets among themselves. Flora faked her own death to get back at her mother. Flora did not care at all about the effect this would have on her pact with her siblings. Flora knew keeping her siblings in the dark would betray the siblings' pact.,Did Flora intentionally betray her siblings' pact?
loyalty-30-good,30,loyalty,ngo_derived,good,Ernest and his siblings had sworn since childhood to face every family storm together. Ernest faked his own death to get back at his mother. Ernest did not care at all about the effect this would have on his pact with his siblings. Ernest knew bringing his siblings in on the scheme would uphold the siblings' pact.,Did Ernest intentionally uphold the siblings' pact?
loyalty-32-bad,32,loyalty,ngo_derived,bad,"Jo had served in the hero's old regiment, whose veterans closed ranks around his memory. Jo wrote a book to provide a sensational account of the Civil War hero. Jo did not care at all about the effect the book would have on her standing with the regiment. Jo knew the account would mark her a traitor to the regiment.",Did Jo intentionally betray the regiment?
loyalty-32-good,32,loyalty,ngo_derived,good,"Kurt had served in the hero's old unit, whose veterans closed ranks around his memory. Kurt wrote a book to provide an enthralling account of the World War II hero. Kurt did not care at all about the effect the book would have on his standing with the unit. Kurt knew the account would stand as an act of loyalty to the unit.",Did Kurt intentionally show loyalty to the unit?
authority-01-bad,1,authority,ngo_derived,bad,The lab's release protocol required the chief engineer's sign-off on every launch. Bill released the gadget to make a deadline. Bill did not care at all about the effect this would have on the release protocol. Bill knew shipping without the sign-off would flout the chief engineer's authority.,Did Bill intentionally flout the chief engineer's authority?
authority-01-good,1,authority,ngo_derived,good,The lab's release protocol required the chief engineer's sign-off on every launch. Robyn released the invention to make a deadline. Robyn did not care at all about the effect this would have on the release protocol. Robyn knew routing the launch through the sign-off would uphold the chief engineer's authority.,Did Robyn intentionally uphold the chief engineer's authority?
authority-02-bad,2,authority,ngo_derived,bad,The company's charter gave the board final say over every major initiative. The CEO started a plan to increase profits. She did not care at all about the effect the plan would have on the board's authority. She knew launching it without a board vote would undermine the board's authority.,Did the CEO intentionally undermine the board's authority?
authority-02-good,2,authority,ngo_derived,good,The company's charter gave the board final say over every major initiative. The chairman started a plan to increase revenue. He did not care at all about the effect the plan would have on the board's authority. He knew putting it to a board vote first would affirm the board's authority.,Did the chairman intentionally affirm the board's authority?
authority-04-bad,4,authority,ngo_derived,bad,The club's bylaws required the members' committee to approve any change to the grounds. Natasha renovated the country club to improve its appearance. Natasha did not care at all about the effect this would have on the committee's authority. Natasha knew starting the work without the committee's approval would defy the committee's authority.,Did Natasha intentionally defy the committee's authority?
authority-04-good,4,authority,ngo_derived,good,The club's bylaws required the members' committee to approve any change to the grounds. Floyd renovated the golf course to improve its playability. Floyd did not care at all about the effect this would have on the committee's authority. Floyd knew submitting the plans for the committee's approval would respect the committee's authority.,Did Floyd intentionally respect the committee's authority?
authority-08-bad,8,authority,ngo_derived,bad,The university's statutes gave the faculty senate authority over budget changes. The university president enacted a plan to increase business school funding. He did not care at all about the effect this would have on the senate's authority. He knew enacting the plan by decree would undermine the senate's authority.,Did the university president intentionally undermine the senate's authority?
authority-08-good,8,authority,ngo_derived,good,The university's statutes gave the faculty senate authority over budget changes. The athletic director enacted a plan to increase basketball funding. She did not care at all about the effect this would have on the senate's authority. She knew bringing the plan before the senate for its vote would affirm the senate's authority.,Did the athletic director intentionally affirm the senate's authority?
authority-11-bad,11,authority,ngo_derived,bad,The neighborhood association's code required approval for any exterior display. Tim installed a light display to decorate his house. Tim did not care at all about the effect this would have on the association's code. Tim knew wiring it up unapproved would flout the association's rules.,Did Tim intentionally flout the association's rules?
authority-11-good,11,authority,ngo_derived,good,The neighborhood association's code required approval for any exterior display. Tricia installed a lighting array to decorate her yard. Tricia did not care at all about the effect this would have on the association's code. Tricia knew filing the display for approval first would respect the association's rules.,Did Tricia intentionally respect the association's rules?
authority-12-bad,12,authority,ngo_derived,bad,The institute's review board had sole authority to authorize any drug release. The scientist released a drug to gain profit. She did not care at all about the effect this would have on the review board's authority. She knew releasing it unreviewed would defy the review board's authority.,Did the scientist intentionally defy the review board's authority?
authority-12-good,12,authority,ngo_derived,good,The institute's review board had sole authority to authorize any drug release. The scientist released a drug to make a deadline. He did not care at all about the effect this would have on the review board's authority. He knew submitting the release for the board's review would uphold the review board's authority.,Did the scientist intentionally uphold the review board's authority?
authority-17-bad,17,authority,ngo_derived,bad,The shelter's charter required board approval for any budget change. Brenda cut spending at the animal shelter to increase her salary. Brenda did not care at all about the effect this would have on the board's authority. Brenda knew cutting the budget by fiat would undermine the board's authority.,Did Brenda intentionally undermine the board's authority?
authority-17-good,17,authority,ngo_derived,good,The shelter's charter required board approval for any budget change. Billy cut spending at the homeless shelter to increase his pay. Billy did not care at all about the effect this would have on the board's authority. Billy knew presenting the cut for the board's vote would respect the board's authority.,Did Billy intentionally respect the board's authority?
authority-18-bad,18,authority,ngo_derived,bad,"By statute, national health policies required the advisory council's review. The Surgeon General implemented the policy to keep his position. He did not care at all about the effect this would have on the council's authority. He knew skipping the council's review would undermine the council's authority.",Did the Surgeon General intentionally undermine the council's authority?
authority-18-good,18,authority,ngo_derived,good,"By statute, national defense policies required the advisory council's review. The Defense Secretary implemented the policy to remain politically popular. She did not care at all about the effect this would have on the council's authority. She knew submitting the policy for the council's review would affirm the council's authority.",Did the Defense Secretary intentionally affirm the council's authority?
authority-21-bad,21,authority,ngo_derived,bad,The wildlife commission set binding season rules for the valley's hunters. Jerry hunted animals to earn a living. Jerry did not care at all about the effect this would have on the commission's rules. Jerry knew hunting out of season would defy the commission's rules.,Did Jerry intentionally defy the commission's rules?
