family_id,domain,nonmoral_subdomain,valence,mean_common,mean_uncommon,flagged,goal,common_action,uncommon_action
FIN-NEU-02,Finance,,NEU,8.5,4.5,False,streamline claims handling to cut administrative costs,adopted a claims-review process widely used by comparable insurers,"implemented a custom claims-review process designed specifically for this department, an approach rarely used by comparable insurers"
FOOD-MG-02,Food Quality,,MG,8.0,4.0,False,revise kitchen sanitation procedures to reduce cleaning-supply costs,adopted a sanitation schedule widely used by comparable restaurant chains,"implemented a custom sanitation schedule designed specifically for this chain, an approach rarely used by comparable restaurants"
WORK-NEU-02,Workplace,,NEU,8.0,4.0,False,revise the sales team's commission structure to reduce payroll costs,adopted a commission formula widely used by comparable retail chains,"implemented a custom commission formula designed specifically for this store, an approach rarely used by comparable retailers"
ACAD-MB-01,Academic,,MB,6.5,2.0,False,reduce faculty workload spent on grading,adopted a grading rubric widely used by comparable departments,"implemented a custom grading rubric designed specifically for this department, an approach rarely used by comparable departments"
ANIM-MB-02,Animal Welfare,,MB,6.0,1.5,False,reduce transport costs by changing how livestock are loaded and transported to market,adopted a transport loading procedure widely used by comparable farms,"implemented a custom transport loading procedure designed specifically for this farm, an approach rarely used by comparable farms"
ANIM-NEU-01,Animal Welfare,,NEU,9.0,4.5,False,reduce the shelter's operating budget,adopted an intake and care policy widely used by comparable shelters,"implemented a custom intake and care policy designed specifically for this shelter, an approach rarely used by comparable shelters"
COMM-MB-01,Community,,MB,7.0,2.5,False,reallocate emergency response resources across the city to reduce the department's overtime budget,adopted a resource allocation plan widely used by comparable cities,"implemented a custom resource allocation plan designed specifically for this city, an approach rarely used by comparable cities"
PRIV-NMB-01,Data Privacy,procedural,NMB,7.0,2.5,False,migrate customer data to a lower-cost storage system to reduce operating costs,adopted a storage system widely used by comparable companies in the industry,"implemented a custom storage system designed specifically for this company, an approach rarely used by comparable companies"
ENV-MB-02,Environment,,MB,7.0,2.5,False,reduce wildfire management costs,adopted a commercially available vegetation-management schedule already used by many nearby forests,"implemented a custom vegetation-management schedule developed specifically for this forest, an approach rarely used by nearby forests"
ENV-MG-02,Environment,,MG,6.5,2.0,False,reduce wildfire management costs,adopted a commercially available vegetation-management schedule already used by many nearby forests,"implemented a custom vegetation-management schedule developed specifically for this forest, an approach rarely used by nearby forests"
FIN-NMG-01,Finance,procedural,NMG,8.5,4.0,False,revise the terms on its personal loan product to increase profit margins,adopted a fee structure widely used by comparable lenders in the industry,"implemented a custom fee structure designed specifically for this loan product, an approach rarely used by comparable lenders"
COMM-MB-02,Community,,MB,7.5,2.5,False,restructure bus routes to reduce the agency's operating costs,adopted a route restructuring plan widely used by comparable transit agencies,"implemented a custom route restructuring plan designed specifically for this agency, an approach rarely used by comparable agencies"
COMM-MG-01,Community,,MG,7.0,2.0,False,reallocate emergency response resources across the city to reduce the department's overtime budget,adopted a resource allocation plan widely used by comparable cities,"implemented a custom resource allocation plan designed specifically for this city, an approach rarely used by comparable cities"
ENV-MG-01,Environment,,MG,8.0,3.0,False,modernize the plant's water-treatment process to reduce operating costs,switched to a newer treatment process widely used by industry-standard providers,"commissioned a custom, in-house treatment process built specifically for this plant, an approach rarely used by comparable facilities"
ENV-NMG-01,Environment,aesthetic,NMG,8.0,3.0,False,modernize the plant's water-treatment process to reduce operating costs,switched to a newer treatment process widely used by industry-standard providers,"commissioned a custom, in-house treatment process built specifically for this plant, an approach rarely used by comparable facilities"
FIN-MB-02,Finance,,MB,7.0,2.0,False,streamline claims handling to cut administrative costs,adopted a claims-review process widely used by comparable insurers,"implemented a custom claims-review process designed specifically for this department, an approach rarely used by comparable insurers"
FIN-NMB-02,Finance,procedural,NMB,8.0,3.0,False,streamline claims handling to cut administrative costs,adopted a claims-review process widely used by comparable insurers,"implemented a custom claims-review process designed specifically for this department, an approach rarely used by comparable insurers"
HC-MB-01,Healthcare,,MB,7.0,2.0,False,restructure nurse staffing ratios to reduce labor costs,adopted a staffing ratio widely used by comparable hospitals in the region,"implemented a custom staffing ratio designed specifically for this hospital, an approach rarely used by comparable facilities"
WORK-MB-01,Workplace,,MB,7.0,2.0,False,restructure the team's shift schedule to increase quarterly output,adopted a shift-rotation schedule widely used by comparable departments in the industry,"implemented a custom shift-rotation schedule designed specifically for this team, an approach rarely used by comparable departments"
WORK-NEU-01,Workplace,,NEU,7.5,2.5,False,restructure the team's shift schedule to increase quarterly output,adopted a shift-rotation schedule widely used by comparable departments in the industry,"implemented a custom shift-rotation schedule designed specifically for this team, an approach rarely used by comparable departments"
WORK-NMG-02,Workplace,procedural,NMG,8.0,3.0,False,revise the sales team's commission structure to reduce payroll costs,adopted a commission formula widely used by comparable retail chains,"implemented a custom commission formula designed specifically for this store, an approach rarely used by comparable retailers"
ANIM-MB-01,Animal Welfare,,MB,7.0,1.5,False,reduce the shelter's operating budget,adopted an intake and care policy widely used by comparable shelters,"implemented a custom intake and care policy designed specifically for this shelter, an approach rarely used by comparable shelters"
PRIV-MG-02,Data Privacy,,MG,7.5,2.0,False,increase ad revenue from its advertising partnerships,adopted a data-sharing agreement widely used by comparable companies in the industry,"implemented a custom data-sharing agreement designed specifically for this company, an approach rarely used by comparable companies"
PRIV-NMB-02,Data Privacy,procedural,NMB,8.0,2.5,False,increase ad revenue from its advertising partnerships,adopted a data-sharing agreement widely used by comparable companies in the industry,"implemented a custom data-sharing agreement designed specifically for this company, an approach rarely used by comparable companies"
PRIV-NMG-01,Data Privacy,procedural,NMG,8.0,2.5,False,migrate customer data to a lower-cost storage system to reduce operating costs,adopted a storage system widely used by comparable companies in the industry,"implemented a custom storage system designed specifically for this company, an approach rarely used by comparable companies"
PRIV-NMG-02,Data Privacy,procedural,NMG,8.0,2.5,False,increase ad revenue from its advertising partnerships,adopted a data-sharing agreement widely used by comparable companies in the industry,"implemented a custom data-sharing agreement designed specifically for this company, an approach rarely used by comparable companies"
FOOD-NMG-01,Food Quality,aesthetic,NMG,7.5,2.0,False,streamline allergen testing procedures to reduce lab costs,adopted a testing protocol widely used by comparable food manufacturers,"implemented a custom testing protocol designed specifically for this product line, an approach rarely used by comparable manufacturers"
WORK-NMB-02,Workplace,procedural,NMB,8.0,2.5,False,revise the sales team's commission structure to reduce payroll costs,adopted a commission formula widely used by comparable retail chains,"implemented a custom commission formula designed specifically for this store, an approach rarely used by comparable retailers"
WORK-NMG-01,Workplace,procedural,NMG,8.0,2.5,False,restructure the team's shift schedule to increase quarterly output,adopted a shift-rotation schedule widely used by comparable departments in the industry,"implemented a custom shift-rotation schedule designed specifically for this team, an approach rarely used by comparable departments"
ANIM-MG-01,Animal Welfare,,MG,8.0,2.0,False,reduce the shelter's operating budget,adopted an intake and care policy widely used by comparable shelters,"implemented a custom intake and care policy designed specifically for this shelter, an approach rarely used by comparable shelters"
ANIM-NMB-01,Animal Welfare,aesthetic,NMB,8.0,2.0,False,reduce the shelter's operating budget,adopted an intake and care policy widely used by comparable shelters,"implemented a custom intake and care policy designed specifically for this shelter, an approach rarely used by comparable shelters"
ANIM-NMG-02,Animal Welfare,aesthetic,NMG,8.0,2.0,False,reduce transport costs by changing how livestock are loaded and transported to market,adopted a transport loading procedure widely used by comparable farms,"implemented a custom transport loading procedure designed specifically for this farm, an approach rarely used by comparable farms"
COMM-NEU-01,Community,,NEU,8.0,2.0,False,reallocate emergency response resources across the city to reduce the department's overtime budget,adopted a resource allocation plan widely used by comparable cities,"implemented a custom resource allocation plan designed specifically for this city, an approach rarely used by comparable cities"
COMM-NEU-02,Community,,NEU,9.0,3.0,False,restructure bus routes to reduce the agency's operating costs,adopted a route restructuring plan widely used by comparable transit agencies,"implemented a custom route restructuring plan designed specifically for this agency, an approach rarely used by comparable agencies"
COMM-NMB-02,Community,aesthetic,NMB,8.0,2.0,False,restructure bus routes to reduce the agency's operating costs,adopted a route restructuring plan widely used by comparable transit agencies,"implemented a custom route restructuring plan designed specifically for this agency, an approach rarely used by comparable agencies"
FIN-MG-01,Finance,,MG,8.0,2.0,False,revise the terms on its personal loan product to increase profit margins,adopted a fee structure widely used by comparable lenders in the industry,"implemented a custom fee structure designed specifically for this loan product, an approach rarely used by comparable lenders"
FIN-MG-02,Finance,,MG,8.0,2.0,False,streamline claims handling to cut administrative costs,adopted a claims-review process widely used by comparable insurers,"implemented a custom claims-review process designed specifically for this department, an approach rarely used by comparable insurers"
FIN-NMB-01,Finance,procedural,NMB,8.0,2.0,False,revise the terms on its personal loan product to increase profit margins,adopted a fee structure widely used by comparable lenders in the industry,"implemented a custom fee structure designed specifically for this loan product, an approach rarely used by comparable lenders"
FIN-NMG-02,Finance,procedural,NMG,8.0,2.0,False,streamline claims handling to cut administrative costs,adopted a claims-review process widely used by comparable insurers,"implemented a custom claims-review process designed specifically for this department, an approach rarely used by comparable insurers"
FOOD-MG-01,Food Quality,,MG,8.0,2.0,False,streamline allergen testing procedures to reduce lab costs,adopted a testing protocol widely used by comparable food manufacturers,"implemented a custom testing protocol designed specifically for this product line, an approach rarely used by comparable manufacturers"
FOOD-NMB-01,Food Quality,aesthetic,NMB,8.0,2.0,False,streamline allergen testing procedures to reduce lab costs,adopted a testing protocol widely used by comparable food manufacturers,"implemented a custom testing protocol designed specifically for this product line, an approach rarely used by comparable manufacturers"
HC-MG-01,Healthcare,,MG,8.0,2.0,False,restructure nurse staffing ratios to reduce labor costs,adopted a staffing ratio widely used by comparable hospitals in the region,"implemented a custom staffing ratio designed specifically for this hospital, an approach rarely used by comparable facilities"
HC-MG-02,Healthcare,,MG,8.0,2.0,False,switch to a lower-cost formulary to reduce the hospital's drug procurement costs,adopted a formulary substitution list widely used by comparable hospital pharmacies,"implemented a custom formulary substitution list designed specifically for this hospital, an approach rarely used by comparable pharmacies"
HC-NEU-01,Healthcare,,NEU,8.0,2.0,False,restructure nurse staffing ratios to reduce labor costs,adopted a staffing ratio widely used by comparable hospitals in the region,"implemented a custom staffing ratio designed specifically for this hospital, an approach rarely used by comparable facilities"
PS-NEU-01,Product Safety,,NEU,8.0,2.0,False,modernize its toy assembly process to cut production costs,adopted a widely used assembly method common across comparable toy manufacturers,"commissioned a custom, in-house assembly method built specifically for this toy line, an approach rarely used by comparable manufacturers"
PS-NMB-01,Product Safety,aesthetic,NMB,8.0,2.0,False,modernize its toy assembly process to cut production costs,adopted a widely used assembly method common across comparable toy manufacturers,"commissioned a custom, in-house assembly method built specifically for this toy line, an approach rarely used by comparable manufacturers"
PS-NMG-01,Product Safety,aesthetic,NMG,8.0,2.0,False,modernize its toy assembly process to cut production costs,adopted a widely used assembly method common across comparable toy manufacturers,"commissioned a custom, in-house assembly method built specifically for this toy line, an approach rarely used by comparable manufacturers"
WORK-MG-01,Workplace,,MG,8.0,2.0,False,restructure the team's shift schedule to increase quarterly output,adopted a shift-rotation schedule widely used by comparable departments in the industry,"implemented a custom shift-rotation schedule designed specifically for this team, an approach rarely used by comparable departments"
WORK-NMB-01,Workplace,procedural,NMB,8.0,2.0,False,restructure the team's shift schedule to increase quarterly output,adopted a shift-rotation schedule widely used by comparable departments in the industry,"implemented a custom shift-rotation schedule designed specifically for this team, an approach rarely used by comparable departments"
ACAD-NMB-02,Academic,aesthetic,NMB,8.0,1.5,False,revise the undergraduate admissions evaluation criteria to reduce the review committee's workload,adopted an evaluation rubric widely used by comparable universities,"implemented a custom evaluation rubric designed specifically for this university, an approach rarely used by comparable universities"
ANIM-NMG-01,Animal Welfare,aesthetic,NMG,8.5,2.0,False,reduce the shelter's operating budget,adopted an intake and care policy widely used by comparable shelters,"implemented a custom intake and care policy designed specifically for this shelter, an approach rarely used by comparable shelters"
COMM-NMG-02,Community,aesthetic,NMG,8.5,2.0,False,restructure bus routes to reduce the agency's operating costs,adopted a route restructuring plan widely used by comparable transit agencies,"implemented a custom route restructuring plan designed specifically for this agency, an approach rarely used by comparable agencies"
PRIV-NEU-02,Data Privacy,,NEU,8.5,2.0,False,increase ad revenue from its advertising partnerships,adopted a data-sharing agreement widely used by comparable companies in the industry,"implemented a custom data-sharing agreement designed specifically for this company, an approach rarely used by comparable companies"
FOOD-NEU-02,Food Quality,,NEU,8.5,2.0,False,revise kitchen sanitation procedures to reduce cleaning-supply costs,adopted a sanitation schedule widely used by comparable restaurant chains,"implemented a custom sanitation schedule designed specifically for this chain, an approach rarely used by comparable restaurants"
FOOD-NMB-02,Food Quality,aesthetic,NMB,7.5,1.0,False,revise kitchen sanitation procedures to reduce cleaning-supply costs,adopted a sanitation schedule widely used by comparable restaurant chains,"implemented a custom sanitation schedule designed specifically for this chain, an approach rarely used by comparable restaurants"
FOOD-NMG-02,Food Quality,aesthetic,NMG,8.0,1.5,False,revise kitchen sanitation procedures to reduce cleaning-supply costs,adopted a sanitation schedule widely used by comparable restaurant chains,"implemented a custom sanitation schedule designed specifically for this chain, an approach rarely used by comparable restaurants"
ACAD-NMG-02,Academic,aesthetic,NMG,8.5,1.5,False,revise the undergraduate admissions evaluation criteria to reduce the review committee's workload,adopted an evaluation rubric widely used by comparable universities,"implemented a custom evaluation rubric designed specifically for this university, an approach rarely used by comparable universities"
COMM-NMB-01,Community,aesthetic,NMB,9.0,2.0,False,reallocate emergency response resources across the city to reduce the department's overtime budget,adopted a resource allocation plan widely used by comparable cities,"implemented a custom resource allocation plan designed specifically for this city, an approach rarely used by comparable cities"
COMM-NMG-01,Community,aesthetic,NMG,9.0,1.5,False,reallocate emergency response resources across the city to reduce the department's overtime budget,adopted a resource allocation plan widely used by comparable cities,"implemented a custom resource allocation plan designed specifically for this city, an approach rarely used by comparable cities"
