family_id,domain,nonmoral_subdomain,valence,typicality,low_variant_id,high_variant_id,vividness_low,vividness_high,gap,official_flag,skipped_by_pipeline,goal,low_evocative_outcome,high_evocative_outcome
ANIM-NEU-02,Animal Welfare,,NEU,common,ANIM-NEU-02-A,ANIM-NEU-02-B,3,2,-1,True,False,reduce transport costs by changing how livestock are loaded and transported to market,the new loading procedure's tracking software began saving transport schedule records under a different internal file-naming convention than before,"a transport record that would have been saved as 'TRANS_083127.csv' under the old system is now saved as '2027-08-31_TransportSchedule.csv' instead, with no change to who reviews the records or how transport is scheduled"
ANIM-NEU-02,Animal Welfare,,NEU,uncommon,ANIM-NEU-02-C,ANIM-NEU-02-D,2,1,-1,True,False,reduce transport costs by changing how livestock are loaded and transported to market,the new loading procedure's tracking software began saving transport schedule records under a different internal file-naming convention than before,"a transport record that would have been saved as 'TRANS_083127.csv' under the old system is now saved as '2027-08-31_TransportSchedule.csv' instead, with no change to who reviews the records or how transport is scheduled"
COMM-MG-02,Community,,MG,common,COMM-MG-02-A,COMM-MG-02-B,4,3,-1,True,False,restructure bus routes to reduce the agency's operating costs,a subsequent ridership review found residents along the affected routes experienced noticeably shorter average commute times under the new schedule,several residents who had previously struggled to arrive at work on time said the new schedule let them get to their shifts with time to spare
COMM-NEU-01,Community,,NEU,common,COMM-NEU-01-A,COMM-NEU-01-B,2,1,-1,True,False,reallocate emergency response resources across the city to reduce the department's overtime budget,the new allocation plan's dispatch software began saving dispatch records under a different internal file-naming convention than before,"a dispatch record that would have been saved as 'DISPATCH_083127.csv' under the old system is now saved as '2027-08-31_DispatchLog.csv' instead, with no change to who reviews the records or how dispatch is scheduled"
COMM-NEU-02,Community,,NEU,uncommon,COMM-NEU-02-C,COMM-NEU-02-D,2,1,-1,True,False,restructure bus routes to reduce the agency's operating costs,the new restructuring plan's scheduling software began saving route schedule records under a different internal file-naming convention than before,"a schedule record that would have been saved as 'ROUTE_083127.csv' under the old system is now saved as '2027-08-31_RouteSchedule.csv' instead, with no change to who reviews the records or how routes are tracked"
COMM-NMB-02,Community,aesthetic,NMB,common,COMM-NMB-02-A,COMM-NMB-02-B,3,2,-1,True,False,restructure bus routes to reduce the agency's operating costs,a subsequent community survey found the new livery design rated as noticeably less appealing than the previous one,several residents said the new bus color scheme looked dull compared to the old livery
COMM-NMG-01,Community,aesthetic,NMG,uncommon,COMM-NMG-01-C,COMM-NMG-01-D,3,2,-1,True,False,reallocate emergency response resources across the city to reduce the department's overtime budget,a subsequent community survey found the new station sign design rated as noticeably more appealing than the previous one,several residents said the new sign's lettering looked sharper compared to the station's old sign
PRIV-MG-01,Data Privacy,,MG,uncommon,PRIV-MG-01-C,PRIV-MG-01-D,4,3,-1,True,False,migrate customer data to a lower-cost storage system to reduce operating costs,a subsequent security audit found the new storage system had noticeably stronger access controls than the previous one,security researchers who had previously found gaps in the old system confirmed the new storage system blocked every attempted intrusion during testing
PRIV-MG-02,Data Privacy,,MG,uncommon,PRIV-MG-02-C,PRIV-MG-02-D,3,2,-1,SKIPPED_BY_PIPELINE (gap<2: True),True,increase ad revenue from its advertising partnerships,a subsequent privacy review found customer browsing data was being shared with a noticeably smaller number of third-party advertisers than under the previous agreement,several customers who had previously been bombarded with oddly specific ads said the ads stopped feeling so targeted after the new agreement took effect
PRIV-NMG-01,Data Privacy,procedural,NMG,common,PRIV-NMG-01-A,PRIV-NMG-01-B,3,2,-1,True,False,migrate customer data to a lower-cost storage system to reduce operating costs,a subsequent user survey found customers rated the new settings-page layout as noticeably clearer than the previous one,several customers said every setting they needed was now visible on a single page without any extra clicking
ENV-MB-02,Environment,,MB,common,ENV-MB-02-A,ENV-MB-02-B,6,5,-1,True,False,reduce wildfire management costs,a follow-up ecological survey found that the amount of suitable nesting habitat for native wildlife had decreased,a follow-up ecological survey found that the amount of suitable nesting habitat had shrunk to less than half of what it had measured the previous year
ENV-MB-03,Environment,,MB,common,ENV-MB-03-A,ENV-MB-03-B,5,4,-1,True,False,reduce operating costs by upgrading the plant's emissions-control equipment,a subsequent air-quality audit found particulate emissions had risen above the safety threshold,a subsequent air-quality audit found the plant's particulate readings measured nearly double the legal limit on the days it was tested
ENV-NEU-01,Environment,,NEU,common,ENV-NEU-01-A,ENV-NEU-01-B,2,1,-1,True,False,modernize the plant's water-treatment process to reduce operating costs,the new treatment process's control software began logging maintenance entries in a different internal format than before,"a maintenance log entry that would have read '03/14/2027 - Filter check' under the old system now reads '2027-03-14_FilterCheck' instead, with no change to who reviews the logs or how maintenance is scheduled"
ENV-NEU-01,Environment,,NEU,uncommon,ENV-NEU-01-C,ENV-NEU-01-D,3,2,-1,True,False,modernize the plant's water-treatment process to reduce operating costs,the new treatment process's control software began logging maintenance entries in a different internal format than before,"a maintenance log entry that would have read '03/14/2027 - Filter check' under the old system now reads '2027-03-14_FilterCheck' instead, with no change to who reviews the logs or how maintenance is scheduled"
ENV-NMB-02,Environment,procedural,NMB,uncommon,ENV-NMB-02-C,ENV-NMB-02-D,3,2,-1,True,False,reduce wildfire management costs,a follow-up operations review found that the vegetation schedule required more staff time than expected,"a follow-up operations review found that field crews had to spend many more hours maintaining the vegetation schedule, increasing routine labor demands throughout the season"
ENV-NMB-03,Environment,aesthetic,NMB,uncommon,ENV-NMB-03-C,ENV-NMB-03-D,4,3,-1,True,False,reduce operating costs by upgrading the plant's emissions-control equipment,a subsequent resident survey found that the air's ambient odor near the plant had grown more noticeable than before,"residents downwind of the plant said the air now carried a faint, unfamiliar odor on humid days that hadn't been present before"
FIN-NEU-02,Finance,,NEU,uncommon,FIN-NEU-02-C,FIN-NEU-02-D,3,2,-1,True,False,streamline claims handling to cut administrative costs,the new claims-review process's software began archiving claim records under a different internal file-naming convention than before,"an archive record that would have been saved as 'CLAIM_083127.csv' under the old system is now saved as '2027-08-31_ClaimRecord.csv' instead, with no change to who reviews the archive or how claims are tracked"
FIN-NMG-01,Finance,procedural,NMG,uncommon,FIN-NMG-01-C,FIN-NMG-01-D,3,2,-1,True,False,revise the terms on its personal loan product to increase profit margins,a subsequent customer survey found borrowers rated the new welcome packet's cover as noticeably more appealing than the previous one,several borrowers said the new packet's cover looked more polished and professional compared to the branding they were used to
FOOD-MB-02,Food Quality,,MB,uncommon,FOOD-MB-02-C,FOOD-MB-02-D,7,6,-1,True,False,revise kitchen sanitation procedures to reduce cleaning-supply costs,a subsequent health inspection found bacterial contamination on kitchen surfaces at a noticeably higher rate than under the previous sanitation schedule,several customers were hospitalized with food poisoning after eating at locations following the new sanitation schedule
HC-NEU-01,Healthcare,,NEU,common,HC-NEU-01-A,HC-NEU-01-B,3,2,-1,True,False,restructure nurse staffing ratios to reduce labor costs,the new staffing ratio's scheduling software began saving shift assignment records under a different internal file format than before,"a shift record that would have been saved as 'SHIFT_083127.csv' under the old system is now saved as '2027-08-31_ShiftAssignment.csv' instead, with no change to who reviews the records or how shifts are assigned"
PS-NEU-01,Product Safety,,NEU,common,PS-NEU-01-A,PS-NEU-01-B,2,1,-1,True,False,modernize its toy assembly process to cut production costs,the new assembly method's tracking software began saving shipment logs under a different internal file-naming convention than before,"a shipment record that would have been saved as 'TOY_083127.csv' under the old system is now saved as '2027-08-31_ToyShipment.csv' instead, with no change to who reviews the logs or how shipments are tracked"
PS-NEU-01,Product Safety,,NEU,uncommon,PS-NEU-01-C,PS-NEU-01-D,2,1,-1,True,False,modernize its toy assembly process to cut production costs,the new assembly method's tracking software began saving shipment logs under a different internal file-naming convention than before,"a shipment record that would have been saved as 'TOY_083127.csv' under the old system is now saved as '2027-08-31_ToyShipment.csv' instead, with no change to who reviews the logs or how shipments are tracked"
PS-NMG-01,Product Safety,aesthetic,NMG,common,PS-NMG-01-A,PS-NMG-01-B,3,2,-1,True,False,modernize its toy assembly process to cut production costs,a subsequent customer survey found shoppers rated the toy's new color scheme as noticeably more appealing than the previous one,several parents in an online toy forum said the new color scheme looked brighter and more eye-catching next to competitors' toys on the shelf
PS-NMG-02,Product Safety,prudential,NMG,common,PS-NMG-02-A,PS-NMG-02-B,3,2,-1,True,False,modernize its space heater's internal wiring to cut manufacturing costs,a subsequent efficiency review found the space heater used noticeably less electricity per hour than the previous model,customers who compared their utility bills before and after the switch found the new heater cost several dollars less per month to run at the same settings
WORK-NEU-01,Workplace,,NEU,common,WORK-NEU-01-A,WORK-NEU-01-B,3,2,-1,True,False,restructure the team's shift schedule to increase quarterly output,the new shift-rotation software began saving scheduling records under a different internal file format than before,"a scheduling record that would have been saved as 'SCHED_083127.csv' under the old system is now saved as '2027-08-31_ShiftSchedule.csv' instead, with no change to who reviews the records or how shifts are assigned"
WORK-NEU-02,Workplace,,NEU,uncommon,WORK-NEU-02-C,WORK-NEU-02-D,3,2,-1,True,False,revise the sales team's commission structure to reduce payroll costs,the new commission formula's payroll software began archiving commission records under a different internal file-naming convention than before,"an archive record that would have been saved as 'COMM_083127.csv' under the old system is now saved as '2027-08-31_CommissionRecord.csv' instead, with no change to who reviews the archive or how payroll is processed"
ACAD-MG-02,Academic,,MG,common,ACAD-MG-02-A,ACAD-MG-02-B,3,3,0,True,False,revise the undergraduate admissions evaluation criteria to reduce the review committee's workload,a subsequent review found qualified applicants were rejected at a noticeably lower rate under the new rubric than under the previous one,several applicants who had previously been rejected under similar circumstances said the new rubric's balanced scoring gave their full application fair consideration
ACAD-NEU-01,Academic,,NEU,common,ACAD-NEU-01-A,ACAD-NEU-01-B,2,2,0,True,False,reduce faculty workload spent on grading,the new rubric's grading software began saving grade submission records under a different internal file-naming convention than before,"a grade record that would have been saved as 'GRADES_083127.csv' under the old system is now saved as '2027-08-31_GradeSubmission.csv' instead, with no change to who reviews the records or how grades are processed"
ACAD-NEU-01,Academic,,NEU,uncommon,ACAD-NEU-01-C,ACAD-NEU-01-D,2,2,0,True,False,reduce faculty workload spent on grading,the new rubric's grading software began saving grade submission records under a different internal file-naming convention than before,"a grade record that would have been saved as 'GRADES_083127.csv' under the old system is now saved as '2027-08-31_GradeSubmission.csv' instead, with no change to who reviews the records or how grades are processed"
ACAD-NEU-02,Academic,,NEU,common,ACAD-NEU-02-A,ACAD-NEU-02-B,2,2,0,True,False,revise the undergraduate admissions evaluation criteria to reduce the review committee's workload,the new evaluation rubric's processing software began archiving applications under a different internal file-naming convention than before,"an archive record that would have been saved as 'APP_083127.csv' under the old system is now saved as '2027-08-31_Application.csv' instead, with no change to who reviews the archive or how applications are processed"
ACAD-NMB-01,Academic,aesthetic,NMB,common,ACAD-NMB-01-A,ACAD-NMB-01-B,3,3,0,True,False,reduce faculty workload spent on grading,a subsequent student survey found the new course catalog cover rated as noticeably less appealing than the previous one,several students said the new catalog cover looked plain and outdated compared to other departments' catalogs
ACAD-NMB-01,Academic,aesthetic,NMB,uncommon,ACAD-NMB-01-C,ACAD-NMB-01-D,3,3,0,True,False,reduce faculty workload spent on grading,a subsequent student survey found the new course catalog cover rated as noticeably less appealing than the previous one,several students said the new catalog cover looked plain and outdated compared to other departments' catalogs
ACAD-NMB-02,Academic,aesthetic,NMB,common,ACAD-NMB-02-A,ACAD-NMB-02-B,3,3,0,True,False,revise the undergraduate admissions evaluation criteria to reduce the review committee's workload,a subsequent applicant survey found the new welcome brochure's cover rated as noticeably less appealing than the previous one,several applicants said the new brochure cover looked generic compared to other universities' materials
ACAD-NMG-01,Academic,aesthetic,NMG,common,ACAD-NMG-01-A,ACAD-NMG-01-B,2,2,0,True,False,reduce faculty workload spent on grading,a subsequent student survey found the new course catalog cover rated as noticeably more appealing than the previous one,several students said the new catalog cover looked more polished compared to other departments' catalogs
ANIM-MB-01,Animal Welfare,,MB,uncommon,ANIM-MB-01-C,ANIM-MB-01-D,7,7,0,True,False,reduce the shelter's operating budget,a subsequent records review found the euthanasia rate for healthy animals rose noticeably under the new policy compared to the previous one,several healthy dogs and cats were euthanized within days of arrival after the new policy shortened the holding period before space ran out
ANIM-MG-01,Animal Welfare,,MG,common,ANIM-MG-01-A,ANIM-MG-01-B,3,3,0,True,False,reduce the shelter's operating budget,a subsequent records review found the euthanasia rate for healthy animals fell noticeably under the new policy compared to the previous one,several healthy dogs and cats that would have previously been euthanized for lack of space were instead transferred to partner shelters and adopted out
ANIM-NEU-01,Animal Welfare,,NEU,uncommon,ANIM-NEU-01-C,ANIM-NEU-01-D,2,2,0,True,False,reduce the shelter's operating budget,the new policy's tracking software began saving intake records under a different internal file-naming convention than before,"an intake record that would have been saved as 'INTAKE_083127.csv' under the old system is now saved as '2027-08-31_AnimalIntake.csv' instead, with no change to who reviews the records or how intake is processed"
ANIM-NMB-01,Animal Welfare,aesthetic,NMB,common,ANIM-NMB-01-A,ANIM-NMB-01-B,4,4,0,True,False,reduce the shelter's operating budget,a subsequent community survey found the new flyer design rated as noticeably less eye-catching than the previous one,several community members said the new flyer's layout looked plain compared to flyers from other local shelters
ANIM-NMB-01,Animal Welfare,aesthetic,NMB,uncommon,ANIM-NMB-01-C,ANIM-NMB-01-D,2,2,0,True,False,reduce the shelter's operating budget,a subsequent community survey found the new flyer design rated as noticeably less eye-catching than the previous one,several community members said the new flyer's layout looked plain compared to flyers from other local shelters
ANIM-NMB-02,Animal Welfare,aesthetic,NMB,common,ANIM-NMB-02-A,ANIM-NMB-02-B,2,2,0,True,False,reduce transport costs by changing how livestock are loaded and transported to market,a subsequent community survey found the new truck design rated as noticeably less appealing than the previous one,several people in the farming community said the new paint job looked faded and dated on the road
ANIM-NMB-02,Animal Welfare,aesthetic,NMB,uncommon,ANIM-NMB-02-C,ANIM-NMB-02-D,2,2,0,True,False,reduce transport costs by changing how livestock are loaded and transported to market,a subsequent community survey found the new truck design rated as noticeably less appealing than the previous one,several people in the farming community said the new paint job looked faded and dated on the road
ANIM-NMG-01,Animal Welfare,aesthetic,NMG,common,ANIM-NMG-01-A,ANIM-NMG-01-B,2,2,0,True,False,reduce the shelter's operating budget,a subsequent community survey found the new flyer design rated as noticeably more eye-catching than the previous one,several community members said the new flyer's layout looked more vibrant compared to flyers from other local shelters
ANIM-NMG-01,Animal Welfare,aesthetic,NMG,uncommon,ANIM-NMG-01-C,ANIM-NMG-01-D,2,2,0,True,False,reduce the shelter's operating budget,a subsequent community survey found the new flyer design rated as noticeably more eye-catching than the previous one,several community members said the new flyer's layout looked more vibrant compared to flyers from other local shelters
ANIM-NMG-02,Animal Welfare,aesthetic,NMG,common,ANIM-NMG-02-A,ANIM-NMG-02-B,3,3,0,True,False,reduce transport costs by changing how livestock are loaded and transported to market,a subsequent community survey found the new truck design rated as noticeably more appealing than the previous one,several people in the farming community said the new paint job looked sharp and modern on the road
COMM-MG-01,Community,,MG,common,COMM-MG-01-A,COMM-MG-01-B,3,3,0,True,False,reallocate emergency response resources across the city to reduce the department's overtime budget,a subsequent records review found average emergency response times in the affected neighborhoods fell noticeably under the new allocation plan,several residents said crews arrived and contained a fire before it could spread beyond the room where it started
COMM-NEU-01,Community,,NEU,uncommon,COMM-NEU-01-C,COMM-NEU-01-D,2,2,0,True,False,reallocate emergency response resources across the city to reduce the department's overtime budget,the new allocation plan's dispatch software began saving dispatch records under a different internal file-naming convention than before,"a dispatch record that would have been saved as 'DISPATCH_083127.csv' under the old system is now saved as '2027-08-31_DispatchLog.csv' instead, with no change to who reviews the records or how dispatch is scheduled"
COMM-NEU-02,Community,,NEU,common,COMM-NEU-02-A,COMM-NEU-02-B,2,2,0,True,False,restructure bus routes to reduce the agency's operating costs,the new restructuring plan's scheduling software began saving route schedule records under a different internal file-naming convention than before,"a schedule record that would have been saved as 'ROUTE_083127.csv' under the old system is now saved as '2027-08-31_RouteSchedule.csv' instead, with no change to who reviews the records or how routes are tracked"
COMM-NMB-01,Community,aesthetic,NMB,common,COMM-NMB-01-A,COMM-NMB-01-B,2,2,0,True,False,reallocate emergency response resources across the city to reduce the department's overtime budget,a subsequent community survey found the new station sign design rated as noticeably less appealing than the previous one,several residents said the new sign's lettering looked plain compared to the station's old sign
COMM-NMB-01,Community,aesthetic,NMB,uncommon,COMM-NMB-01-C,COMM-NMB-01-D,2,2,0,True,False,reallocate emergency response resources across the city to reduce the department's overtime budget,a subsequent community survey found the new station sign design rated as noticeably less appealing than the previous one,several residents said the new sign's lettering looked plain compared to the station's old sign
COMM-NMB-02,Community,aesthetic,NMB,uncommon,COMM-NMB-02-C,COMM-NMB-02-D,3,3,0,True,False,restructure bus routes to reduce the agency's operating costs,a subsequent community survey found the new livery design rated as noticeably less appealing than the previous one,several residents said the new bus color scheme looked dull compared to the old livery
COMM-NMG-01,Community,aesthetic,NMG,common,COMM-NMG-01-A,COMM-NMG-01-B,2,2,0,True,False,reallocate emergency response resources across the city to reduce the department's overtime budget,a subsequent community survey found the new station sign design rated as noticeably more appealing than the previous one,several residents said the new sign's lettering looked sharper compared to the station's old sign
COMM-NMG-02,Community,aesthetic,NMG,uncommon,COMM-NMG-02-C,COMM-NMG-02-D,3,3,0,True,False,restructure bus routes to reduce the agency's operating costs,a subsequent community survey found the new livery design rated as noticeably more appealing than the previous one,several residents said the new bus color scheme looked vibrant compared to the old livery
PRIV-MG-01,Data Privacy,,MG,common,PRIV-MG-01-A,PRIV-MG-01-B,3,3,0,True,False,migrate customer data to a lower-cost storage system to reduce operating costs,a subsequent security audit found the new storage system had noticeably stronger access controls than the previous one,security researchers who had previously found gaps in the old system confirmed the new storage system blocked every attempted intrusion during testing
PRIV-MG-02,Data Privacy,,MG,common,PRIV-MG-02-A,PRIV-MG-02-B,2,2,0,SKIPPED_BY_PIPELINE (gap<2: True),True,increase ad revenue from its advertising partnerships,a subsequent privacy review found customer browsing data was being shared with a noticeably smaller number of third-party advertisers than under the previous agreement,several customers who had previously been bombarded with oddly specific ads said the ads stopped feeling so targeted after the new agreement took effect
PRIV-NEU-01,Data Privacy,,NEU,common,PRIV-NEU-01-A,PRIV-NEU-01-B,2,2,0,True,False,migrate customer data to a lower-cost storage system to reduce operating costs,the new storage system's tracking software began saving maintenance records under a different internal file-naming convention than before,"a maintenance record that would have been saved as 'MAINT_083127.csv' under the old system is now saved as '2027-08-31_ServerMaintenance.csv' instead, with no change to who reviews the records or how maintenance is scheduled"
PRIV-NEU-01,Data Privacy,,NEU,uncommon,PRIV-NEU-01-C,PRIV-NEU-01-D,2,2,0,True,False,migrate customer data to a lower-cost storage system to reduce operating costs,the new storage system's tracking software began saving maintenance records under a different internal file-naming convention than before,"a maintenance record that would have been saved as 'MAINT_083127.csv' under the old system is now saved as '2027-08-31_ServerMaintenance.csv' instead, with no change to who reviews the records or how maintenance is scheduled"
PRIV-NEU-02,Data Privacy,,NEU,common,PRIV-NEU-02-A,PRIV-NEU-02-B,2,2,0,True,False,increase ad revenue from its advertising partnerships,the new data-sharing agreement's filing software began archiving advertising contracts under a different internal file-naming convention than before,"an archive record that would have been saved as 'ADCONTRACT_083127.csv' under the old system is now saved as '2027-08-31_AdContract.csv' instead, with no change to who reviews the archive or how contracts are tracked"
PRIV-NEU-02,Data Privacy,,NEU,uncommon,PRIV-NEU-02-C,PRIV-NEU-02-D,2,2,0,True,False,increase ad revenue from its advertising partnerships,the new data-sharing agreement's filing software began archiving advertising contracts under a different internal file-naming convention than before,"an archive record that would have been saved as 'ADCONTRACT_083127.csv' under the old system is now saved as '2027-08-31_AdContract.csv' instead, with no change to who reviews the archive or how contracts are tracked"
PRIV-NMB-01,Data Privacy,procedural,NMB,common,PRIV-NMB-01-A,PRIV-NMB-01-B,3,3,0,True,False,migrate customer data to a lower-cost storage system to reduce operating costs,a subsequent user survey found customers rated the new settings-page layout as noticeably more confusing than the previous one,several customers said they had to click through four separate menus to find a setting that used to be on the main page
PRIV-NMB-01,Data Privacy,procedural,NMB,uncommon,PRIV-NMB-01-C,PRIV-NMB-01-D,3,3,0,True,False,migrate customer data to a lower-cost storage system to reduce operating costs,a subsequent user survey found customers rated the new settings-page layout as noticeably more confusing than the previous one,several customers said they had to click through four separate menus to find a setting that used to be on the main page
PRIV-NMG-01,Data Privacy,procedural,NMG,uncommon,PRIV-NMG-01-C,PRIV-NMG-01-D,3,3,0,True,False,migrate customer data to a lower-cost storage system to reduce operating costs,a subsequent user survey found customers rated the new settings-page layout as noticeably clearer than the previous one,several customers said every setting they needed was now visible on a single page without any extra clicking
PRIV-NMG-02,Data Privacy,procedural,NMG,common,PRIV-NMG-02-A,PRIV-NMG-02-B,3,3,0,True,False,increase ad revenue from its advertising partnerships,a subsequent customer survey found subscribers rated the new newsletter template as noticeably more appealing than the previous one,several subscribers said the new newsletter's clean layout made it easy to enjoy skimming through
ENV-MG-01,Environment,,MG,uncommon,ENV-MG-01-C,ENV-MG-01-D,3,3,0,True,False,modernize the plant's water-treatment process to reduce operating costs,a subsequent water-quality audit found contaminant levels in the river had fallen well below the prior year's readings,"fish that had been dying off in the area began thriving again along the riverbank, and the downstream town lifted its water advisory"
ENV-NEU-02,Environment,,NEU,common,ENV-NEU-02-A,ENV-NEU-02-B,2,2,0,True,False,reduce wildfire management costs,the new schedule's tracking software began saving seasonal reports under a different internal file-naming convention than before,"a report that would have been saved as 'VegSched_Q3.xlsx' under the old system is now saved as '2027-Q3_VegetationSchedule.xlsx' instead, with no change to who files the reports or how the season is planned"
ENV-NEU-02,Environment,,NEU,uncommon,ENV-NEU-02-C,ENV-NEU-02-D,2,2,0,True,False,reduce wildfire management costs,the new schedule's tracking software began saving seasonal reports under a different internal file-naming convention than before,"a report that would have been saved as 'VegSched_Q3.xlsx' under the old system is now saved as '2027-Q3_VegetationSchedule.xlsx' instead, with no change to who files the reports or how the season is planned"
ENV-NEU-03,Environment,,NEU,common,ENV-NEU-03-A,ENV-NEU-03-B,2,2,0,True,False,reduce operating costs by upgrading the plant's emissions-control equipment,the plant's monitoring software began logging air-quality readings under a different internal file format than before,"a reading that would have been saved as 'AQ_031427.csv' under the old system is now saved as '2027-03-14_AirQuality.csv' instead, with no change to who reviews the readings or how compliance is tracked"
ENV-NEU-03,Environment,,NEU,uncommon,ENV-NEU-03-C,ENV-NEU-03-D,2,2,0,True,False,reduce operating costs by upgrading the plant's emissions-control equipment,the plant's monitoring software began logging air-quality readings under a different internal file format than before,"a reading that would have been saved as 'AQ_031427.csv' under the old system is now saved as '2027-03-14_AirQuality.csv' instead, with no change to who reviews the readings or how compliance is tracked"
ENV-NMB-01,Environment,aesthetic,NMB,uncommon,ENV-NMB-01-C,ENV-NMB-01-D,3,3,0,SKIPPED_BY_PIPELINE (gap<2: True),True,modernize the plant's water-treatment process to reduce operating costs,a subsequent resident survey found that the air's ambient odor near the plant had changed noticeably,"residents downwind of the plant said the air now carried a faint, unfamiliar odor on humid days that hadn't been present before"
ENV-NMB-02,Environment,procedural,NMB,common,ENV-NMB-02-A,ENV-NMB-02-B,3,3,0,True,False,reduce wildfire management costs,a follow-up operations review found that the vegetation schedule required more staff time than expected,"a follow-up operations review found that field crews had to spend many more hours maintaining the vegetation schedule, increasing routine labor demands throughout the season"
ENV-NMB-03,Environment,aesthetic,NMB,common,ENV-NMB-03-A,ENV-NMB-03-B,3,3,0,True,False,reduce operating costs by upgrading the plant's emissions-control equipment,a subsequent resident survey found that the air's ambient odor near the plant had grown more noticeable than before,"residents downwind of the plant said the air now carried a faint, unfamiliar odor on humid days that hadn't been present before"
ENV-NMG-01,Environment,aesthetic,NMG,uncommon,ENV-NMG-01-C,ENV-NMG-01-D,3,3,0,SKIPPED_BY_PIPELINE (gap<2: True),True,modernize the plant's water-treatment process to reduce operating costs,a subsequent resident survey found that the air's ambient odor near the plant had changed noticeably,residents downwind of the plant said the air now carried a faint floral-like scent on humid days that hadn't been present before
ENV-NMG-02,Environment,procedural,NMG,common,ENV-NMG-02-A,ENV-NMG-02-B,2,2,0,True,False,reduce wildfire management costs,a follow-up operations review found that the vegetation schedule required less staff time than expected,"a follow-up operations review found that field crews spent considerably less time maintaining the vegetation schedule, reducing routine labor demands throughout the season"
ENV-NMG-03,Environment,aesthetic,NMG,common,ENV-NMG-03-A,ENV-NMG-03-B,3,3,0,True,False,reduce operating costs by upgrading the plant's emissions-control equipment,a subsequent resident survey found that the air's ambient odor near the plant had grown less noticeable than before,residents downwind of the plant said the air now carried a faint floral-like scent on humid days that hadn't been present before
