variant_id,family_id,domain,nonmoral_subdomain,valence,typicality,evocativeness,moral_relevance,flagged,flag_detail,goal,common_action,uncommon_action,outcome_verb
PS-MG-02-D,PS-MG-02,Product Safety,,MG,uncommon,high,2,True,category_manipulation: moral_relevance=2 < moral_min=6 for MG item,modernize its space heater's internal wiring to cut manufacturing costs,switched to a wiring supplier widely used by industry-standard manufacturers,"commissioned a custom, in-house wiring assembly built specifically for this product line, an approach rarely used by comparable manufacturers",reduce customers' risk of fire from the space heater
PS-NMB-02-B,PS-NMB-02,Product Safety,prudential,NMB,common,high,6,True,category_manipulation: moral_relevance=6 > nonmoral_max=4 for NMB item,modernize its space heater's internal wiring to cut manufacturing costs,switched to a wiring supplier widely used by industry-standard manufacturers,"commissioned a custom, in-house wiring assembly built specifically for this product line, an approach rarely used by comparable manufacturers",increase the space heater's electricity usage
PS-NMB-02-D,PS-NMB-02,Product Safety,prudential,NMB,uncommon,high,7,True,category_manipulation: moral_relevance=7 > nonmoral_max=4 for NMB item,modernize its space heater's internal wiring to cut manufacturing costs,switched to a wiring supplier widely used by industry-standard manufacturers,"commissioned a custom, in-house wiring assembly built specifically for this product line, an approach rarely used by comparable manufacturers",increase the space heater's electricity usage
WORK-MG-02-C,WORK-MG-02,Workplace,,MG,uncommon,low,2,True,category_manipulation: moral_relevance=2 < moral_min=6 for MG item,revise the sales team's commission structure to reduce payroll costs,adopted a commission formula widely used by comparable retail chains,"implemented a custom commission formula designed specifically for this store, an approach rarely used by comparable retailers",increase sales associates' take-home pay
WORK-NMB-02-C,WORK-NMB-02,Workplace,procedural,NMB,uncommon,low,7,True,category_manipulation: moral_relevance=7 > nonmoral_max=4 for NMB item,revise the sales team's commission structure to reduce payroll costs,adopted a commission formula widely used by comparable retail chains,"implemented a custom commission formula designed specifically for this store, an approach rarely used by comparable retailers",change how commission breakdowns are displayed on pay stubs
WORK-NMB-02-D,WORK-NMB-02,Workplace,procedural,NMB,uncommon,high,7,True,category_manipulation: moral_relevance=7 > nonmoral_max=4 for NMB item,revise the sales team's commission structure to reduce payroll costs,adopted a commission formula widely used by comparable retail chains,"implemented a custom commission formula designed specifically for this store, an approach rarely used by comparable retailers",change how commission breakdowns are displayed on pay stubs
WORK-NMG-02-C,WORK-NMG-02,Workplace,procedural,NMG,uncommon,low,7,True,category_manipulation: moral_relevance=7 > nonmoral_max=4 for NMG item,revise the sales team's commission structure to reduce payroll costs,adopted a commission formula widely used by comparable retail chains,"implemented a custom commission formula designed specifically for this store, an approach rarely used by comparable retailers",change how commission breakdowns are displayed on pay stubs
WORK-NMG-02-D,WORK-NMG-02,Workplace,procedural,NMG,uncommon,high,7,True,category_manipulation: moral_relevance=7 > nonmoral_max=4 for NMG item,revise the sales team's commission structure to reduce payroll costs,adopted a commission formula widely used by comparable retail chains,"implemented a custom commission formula designed specifically for this store, an approach rarely used by comparable retailers",change how commission breakdowns are displayed on pay stubs
ACAD-MB-01-A,ACAD-MB-01,Academic,,MB,common,low,8,False,,reduce faculty workload spent on grading,adopted a grading rubric widely used by comparable departments,"implemented a custom grading rubric designed specifically for this department, an approach rarely used by comparable departments",increase the risk that students receive grades that don't reflect their actual work
ACAD-MB-01-B,ACAD-MB-01,Academic,,MB,common,high,9,False,,reduce faculty workload spent on grading,adopted a grading rubric widely used by comparable departments,"implemented a custom grading rubric designed specifically for this department, an approach rarely used by comparable departments",increase the risk that students receive grades that don't reflect their actual work
ACAD-MB-01-C,ACAD-MB-01,Academic,,MB,uncommon,low,8,False,,reduce faculty workload spent on grading,adopted a grading rubric widely used by comparable departments,"implemented a custom grading rubric designed specifically for this department, an approach rarely used by comparable departments",increase the risk that students receive grades that don't reflect their actual work
ACAD-MB-01-D,ACAD-MB-01,Academic,,MB,uncommon,high,9,False,,reduce faculty workload spent on grading,adopted a grading rubric widely used by comparable departments,"implemented a custom grading rubric designed specifically for this department, an approach rarely used by comparable departments",increase the risk that students receive grades that don't reflect their actual work
ACAD-MB-02-A,ACAD-MB-02,Academic,,MB,common,low,9,False,,revise the undergraduate admissions evaluation criteria to reduce the review committee's workload,adopted an evaluation rubric widely used by comparable universities,"implemented a custom evaluation rubric designed specifically for this university, an approach rarely used by comparable universities",increase the risk that qualified applicants are rejected
ACAD-MB-02-B,ACAD-MB-02,Academic,,MB,common,high,8,False,,revise the undergraduate admissions evaluation criteria to reduce the review committee's workload,adopted an evaluation rubric widely used by comparable universities,"implemented a custom evaluation rubric designed specifically for this university, an approach rarely used by comparable universities",increase the risk that qualified applicants are rejected
ACAD-MB-02-C,ACAD-MB-02,Academic,,MB,uncommon,low,9,False,,revise the undergraduate admissions evaluation criteria to reduce the review committee's workload,adopted an evaluation rubric widely used by comparable universities,"implemented a custom evaluation rubric designed specifically for this university, an approach rarely used by comparable universities",increase the risk that qualified applicants are rejected
ACAD-MB-02-D,ACAD-MB-02,Academic,,MB,uncommon,high,8,False,,revise the undergraduate admissions evaluation criteria to reduce the review committee's workload,adopted an evaluation rubric widely used by comparable universities,"implemented a custom evaluation rubric designed specifically for this university, an approach rarely used by comparable universities",increase the risk that qualified applicants are rejected
ACAD-MG-01-A,ACAD-MG-01,Academic,,MG,common,low,7,False,,reduce faculty workload spent on grading,adopted a grading rubric widely used by comparable departments,"implemented a custom grading rubric designed specifically for this department, an approach rarely used by comparable departments",reduce the risk that students receive grades that don't reflect their actual work
ACAD-MG-01-B,ACAD-MG-01,Academic,,MG,common,high,7,False,,reduce faculty workload spent on grading,adopted a grading rubric widely used by comparable departments,"implemented a custom grading rubric designed specifically for this department, an approach rarely used by comparable departments",reduce the risk that students receive grades that don't reflect their actual work
ACAD-MG-01-C,ACAD-MG-01,Academic,,MG,uncommon,low,7,False,,reduce faculty workload spent on grading,adopted a grading rubric widely used by comparable departments,"implemented a custom grading rubric designed specifically for this department, an approach rarely used by comparable departments",reduce the risk that students receive grades that don't reflect their actual work
ACAD-MG-01-D,ACAD-MG-01,Academic,,MG,uncommon,high,7,False,,reduce faculty workload spent on grading,adopted a grading rubric widely used by comparable departments,"implemented a custom grading rubric designed specifically for this department, an approach rarely used by comparable departments",reduce the risk that students receive grades that don't reflect their actual work
ACAD-MG-02-A,ACAD-MG-02,Academic,,MG,common,low,8,False,,revise the undergraduate admissions evaluation criteria to reduce the review committee's workload,adopted an evaluation rubric widely used by comparable universities,"implemented a custom evaluation rubric designed specifically for this university, an approach rarely used by comparable universities",reduce the risk that qualified applicants are rejected
ACAD-MG-02-B,ACAD-MG-02,Academic,,MG,common,high,7,False,,revise the undergraduate admissions evaluation criteria to reduce the review committee's workload,adopted an evaluation rubric widely used by comparable universities,"implemented a custom evaluation rubric designed specifically for this university, an approach rarely used by comparable universities",reduce the risk that qualified applicants are rejected
ACAD-MG-02-C,ACAD-MG-02,Academic,,MG,uncommon,low,7,False,,revise the undergraduate admissions evaluation criteria to reduce the review committee's workload,adopted an evaluation rubric widely used by comparable universities,"implemented a custom evaluation rubric designed specifically for this university, an approach rarely used by comparable universities",reduce the risk that qualified applicants are rejected
ACAD-MG-02-D,ACAD-MG-02,Academic,,MG,uncommon,high,8,False,,revise the undergraduate admissions evaluation criteria to reduce the review committee's workload,adopted an evaluation rubric widely used by comparable universities,"implemented a custom evaluation rubric designed specifically for this university, an approach rarely used by comparable universities",reduce the risk that qualified applicants are rejected
ACAD-NEU-01-A,ACAD-NEU-01,Academic,,NEU,common,low,2,False,,reduce faculty workload spent on grading,adopted a grading rubric widely used by comparable departments,"implemented a custom grading rubric designed specifically for this department, an approach rarely used by comparable departments",change the grade-submission log's internal file-naming format
ACAD-NEU-01-B,ACAD-NEU-01,Academic,,NEU,common,high,1,False,,reduce faculty workload spent on grading,adopted a grading rubric widely used by comparable departments,"implemented a custom grading rubric designed specifically for this department, an approach rarely used by comparable departments",change the grade-submission log's internal file-naming format
ACAD-NEU-01-C,ACAD-NEU-01,Academic,,NEU,uncommon,low,2,False,,reduce faculty workload spent on grading,adopted a grading rubric widely used by comparable departments,"implemented a custom grading rubric designed specifically for this department, an approach rarely used by comparable departments",change the grade-submission log's internal file-naming format
ACAD-NEU-01-D,ACAD-NEU-01,Academic,,NEU,uncommon,high,2,False,,reduce faculty workload spent on grading,adopted a grading rubric widely used by comparable departments,"implemented a custom grading rubric designed specifically for this department, an approach rarely used by comparable departments",change the grade-submission log's internal file-naming format
ACAD-NEU-02-A,ACAD-NEU-02,Academic,,NEU,common,low,2,False,,revise the undergraduate admissions evaluation criteria to reduce the review committee's workload,adopted an evaluation rubric widely used by comparable universities,"implemented a custom evaluation rubric designed specifically for this university, an approach rarely used by comparable universities",change the admissions archive's internal file-naming format
ACAD-NEU-02-B,ACAD-NEU-02,Academic,,NEU,common,high,2,False,,revise the undergraduate admissions evaluation criteria to reduce the review committee's workload,adopted an evaluation rubric widely used by comparable universities,"implemented a custom evaluation rubric designed specifically for this university, an approach rarely used by comparable universities",change the admissions archive's internal file-naming format
ACAD-NEU-02-C,ACAD-NEU-02,Academic,,NEU,uncommon,low,2,False,,revise the undergraduate admissions evaluation criteria to reduce the review committee's workload,adopted an evaluation rubric widely used by comparable universities,"implemented a custom evaluation rubric designed specifically for this university, an approach rarely used by comparable universities",change the admissions archive's internal file-naming format
ACAD-NEU-02-D,ACAD-NEU-02,Academic,,NEU,uncommon,high,2,False,,revise the undergraduate admissions evaluation criteria to reduce the review committee's workload,adopted an evaluation rubric widely used by comparable universities,"implemented a custom evaluation rubric designed specifically for this university, an approach rarely used by comparable universities",change the admissions archive's internal file-naming format
ACAD-NMB-01-A,ACAD-NMB-01,Academic,aesthetic,NMB,common,low,1,False,,reduce faculty workload spent on grading,adopted a grading rubric widely used by comparable departments,"implemented a custom grading rubric designed specifically for this department, an approach rarely used by comparable departments",change the course catalog's cover design
ACAD-NMB-01-B,ACAD-NMB-01,Academic,aesthetic,NMB,common,high,2,False,,reduce faculty workload spent on grading,adopted a grading rubric widely used by comparable departments,"implemented a custom grading rubric designed specifically for this department, an approach rarely used by comparable departments",change the course catalog's cover design
ACAD-NMB-01-C,ACAD-NMB-01,Academic,aesthetic,NMB,uncommon,low,2,False,,reduce faculty workload spent on grading,adopted a grading rubric widely used by comparable departments,"implemented a custom grading rubric designed specifically for this department, an approach rarely used by comparable departments",change the course catalog's cover design
ACAD-NMB-01-D,ACAD-NMB-01,Academic,aesthetic,NMB,uncommon,high,1,False,,reduce faculty workload spent on grading,adopted a grading rubric widely used by comparable departments,"implemented a custom grading rubric designed specifically for this department, an approach rarely used by comparable departments",change the course catalog's cover design
ACAD-NMB-02-A,ACAD-NMB-02,Academic,aesthetic,NMB,common,low,2,False,,revise the undergraduate admissions evaluation criteria to reduce the review committee's workload,adopted an evaluation rubric widely used by comparable universities,"implemented a custom evaluation rubric designed specifically for this university, an approach rarely used by comparable universities",change the admissions welcome brochure's cover design
